,series_id,country_code,indicator_code,identifier,description,units,frequency,date,value,country
0,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,2019-01-01,2.79582019443,Vietnam
1,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,2018-01-01,3.53956898218,Vietnam
2,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,2017-01-01,3.52031200622,Vietnam
3,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,2016-01-01,2.66820430798,Vietnam
4,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,2015-01-01,0.631214595558,Vietnam
5,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,2014-01-01,4.08458429917,Vietnam
6,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,2013-01-01,6.59266817073,Vietnam
7,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,2012-01-01,9.09471619352,Vietnam
8,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,2011-01-01,18.6777,Vietnam
9,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,2010-01-01,9.20750299229,Vietnam
10,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,2009-01-01,6.71695105081,Vietnam
11,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,2008-01-01,23.1154315231,Vietnam
12,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,2007-01-01,8.34452611026,Vietnam
13,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,2006-01-01,7.4178842782,Vietnam
14,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,2005-01-01,8.28467740623,Vietnam
15,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,2004-01-01,7.75497241014,Vietnam
16,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,2003-01-01,3.23463092702,Vietnam
17,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,2002-01-01,3.830755061,Vietnam
18,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,2001-01-01,-0.431496993038,Vietnam
19,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,2000-01-01,-1.71036602814,Vietnam
20,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,1999-01-01,4.11721518179,Vietnam
21,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,1998-01-01,7.26612398818,Vietnam
22,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,1997-01-01,3.20955775814,Vietnam
23,44971,VN,119,VN.119.A.01,Vietnam: Inflation Rate [Vietnam: Consumer price index: PCTCHG_1],%,A,1996-01-01,5.67499134834,Vietnam
24,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,2019-01-01,1.81221685468,United States
25,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,2018-01-01,2.44254151707,United States
26,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,2017-01-01,2.13015708614,United States
27,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,2016-01-01,1.2615954449,United States
28,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,2015-01-01,0.118636527339,United States
29,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,2014-01-01,1.62223940363,United States
30,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,2013-01-01,1.46479060513,United States
31,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,2012-01-01,2.06937400152,United States
32,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,2011-01-01,3.1568,United States
33,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,2010-01-01,1.6400640739,United States
34,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,2009-01-01,-0.355589315103,United States
35,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,2008-01-01,3.83911575715,United States
36,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,2007-01-01,2.85268637973,United States
37,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,2006-01-01,3.22597573707,United States
38,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,2005-01-01,3.39268335763,United States
39,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,2004-01-01,2.67723684881,United States
40,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,2003-01-01,2.27007958492,United States
41,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,2002-01-01,1.58603295954,United States
42,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,2001-01-01,2.82623808577,United States
43,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,2000-01-01,3.37683316512,United States
44,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1999-01-01,2.18806935686,United States
45,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1998-01-01,1.55217570857,United States
46,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1997-01-01,2.33778944325,United States
47,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1996-01-01,2.93119336947,United States
48,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1995-01-01,2.80541016067,United States
49,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1994-01-01,2.60745919901,United States
50,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1993-01-01,2.95155643202,United States
51,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1992-01-01,3.02894937822,United States
52,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1991-01-01,4.23482721905,United States
53,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1990-01-01,5.39797013245,United States
54,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1989-01-01,4.82712586963,United States
55,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1988-01-01,4.07766133226,United States
56,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1987-01-01,3.66448296374,United States
57,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1986-01-01,1.89824021537,United States
58,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1985-01-01,3.54549041998,United States
59,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1984-01-01,4.30068919617,United States
60,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1983-01-01,3.2123069136,United States
61,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1982-01-01,6.13145443078,United States
62,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1981-01-01,10.3346175422,United States
63,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1980-01-01,13.5493408007,United States
64,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1979-01-01,11.2545502559,United States
65,43857,US,119,US.119.A.01,United States: Inflation Rate [United States: Consumer price index: PCTCHG_1],%,A,1978-01-01,7.63089631551,United States
