,series_id,country_code,indicator_code,identifier,description,units,frequency,date,value,country
0,44980,VN,124,VN.124.A.01,Vietnam: Interest Rate [Vietnam: Interest rates: Real interest rate],%pa,A,2019-01-01,5.8,Vietnam
1,44980,VN,124,VN.124.A.01,Vietnam: Interest Rate [Vietnam: Interest rates: Real interest rate],%pa,A,2018-01-01,3.8,Vietnam
2,44980,VN,124,VN.124.A.01,Vietnam: Interest Rate [Vietnam: Interest rates: Real interest rate],%pa,A,2017-01-01,2.9,Vietnam
3,44980,VN,124,VN.124.A.01,Vietnam: Interest Rate [Vietnam: Interest rates: Real interest rate],%pa,A,2016-01-01,5.8,Vietnam
4,44980,VN,124,VN.124.A.01,Vietnam: Interest Rate [Vietnam: Interest rates: Real interest rate],%pa,A,2015-01-01,7.3,Vietnam
5,44980,VN,124,VN.124.A.01,Vietnam: Interest Rate [Vietnam: Interest rates: Real interest rate],%pa,A,2014-01-01,4.8,Vietnam
6,44980,VN,124,VN.124.A.01,Vietnam: Interest Rate [Vietnam: Interest rates: Real interest rate],%pa,A,2013-01-01,5.4,Vietnam
7,44980,VN,124,VN.124.A.01,Vietnam: Interest Rate [Vietnam: Interest rates: Real interest rate],%pa,A,2012-01-01,2.3,Vietnam
8,44980,VN,124,VN.124.A.01,Vietnam: Interest Rate [Vietnam: Interest rates: Real interest rate],%pa,A,2011-01-01,-3.6,Vietnam
9,44980,VN,124,VN.124.A.01,Vietnam: Interest Rate [Vietnam: Interest rates: Real interest rate],%pa,A,2010-01-01,0.9,Vietnam
10,44980,VN,124,VN.124.A.01,Vietnam: Interest Rate [Vietnam: Interest rates: Real interest rate],%pa,A,2009-01-01,3.6,Vietnam
11,44980,VN,124,VN.124.A.01,Vietnam: Interest Rate [Vietnam: Interest rates: Real interest rate],%pa,A,2008-01-01,-5.6,Vietnam
12,44980,VN,124,VN.124.A.01,Vietnam: Interest Rate [Vietnam: Interest rates: Real interest rate],%pa,A,2007-01-01,1.4,Vietnam
13,44980,VN,124,VN.124.A.01,Vietnam: Interest Rate [Vietnam: Interest rates: Real interest rate],%pa,A,2006-01-01,2.4,Vietnam
14,44980,VN,124,VN.124.A.01,Vietnam: Interest Rate [Vietnam: Interest rates: Real interest rate],%pa,A,2005-01-01,-6.6,Vietnam
15,44980,VN,124,VN.124.A.01,Vietnam: Interest Rate [Vietnam: Interest rates: Real interest rate],%pa,A,2004-01-01,1.2,Vietnam
16,44980,VN,124,VN.124.A.01,Vietnam: Interest Rate [Vietnam: Interest rates: Real interest rate],%pa,A,2003-01-01,2.2,Vietnam
17,44980,VN,124,VN.124.A.01,Vietnam: Interest Rate [Vietnam: Interest rates: Real interest rate],%pa,A,2002-01-01,4.2,Vietnam
