Macrotrends Data Download

Brazil GDP Per Capita 1960-2020


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Per Capita (US $), Annual Growth Rate (%), 
1960-12-31,210.1099
1961-12-31,205.0408,-2.41
1962-12-31,260.4257,27.01
1963-12-31,292.2521,12.22
1964-12-31,261.6666,-10.47
1965-12-31,261.3544,-0.12
1966-12-31,315.7972,20.83
1967-12-31,347.4931,10.04
1968-12-31,374.7868,7.85
1969-12-31,403.8843,7.76
1970-12-31,445.0231,10.19
1971-12-31,504.7495,13.42
1972-12-31,586.2144,16.14
1973-12-31,775.2733,32.25
1974-12-31,1004.1049,29.52
1975-12-31,1153.831,14.91
1976-12-31,1390.625,20.52
1977-12-31,1567.0062,12.68
1978-12-31,1744.2571,11.31
1979-12-31,1908.4876,9.42
1980-12-31,1947.2764,2.03
1981-12-31,2132.8833,9.53
1982-12-31,2226.7673,4.4
1983-12-31,1570.5397,-29.47
1984-12-31,1578.9264,0.53
1985-12-31,1648.0821,4.38
1986-12-31,1941.4911,17.8
1987-12-31,2087.3076,7.51
1988-12-31,2300.3768,10.21
1989-12-31,2908.4962,26.44
1990-12-31,3100.2805,6.59
1991-12-31,3975.3901,28.23
1992-12-31,2596.9199,-34.68
1993-12-31,2791.2091,7.48
1994-12-31,3500.6115,25.42
1995-12-31,4748.2155,35.64
1996-12-31,5166.1637,8.8
1997-12-31,5282.0088,2.24
1998-12-31,5087.1522,-3.69
1999-12-31,3478.3727,-31.62
2000-12-31,3749.7532,7.8
2001-12-31,3156.7987,-15.81
2002-12-31,2829.2832,-10.37
2003-12-31,3070.9105,8.54
2004-12-31,3637.4624,18.45
2005-12-31,4790.4371,31.7
2006-12-31,5886.4636,22.88
2007-12-31,7348.0308,24.83
2008-12-31,8831.0231,20.18
2009-12-31,8597.9154,-2.64
2010-12-31,11286.243,31.27
2011-12-31,13245.6125,17.36
2012-12-31,12370.0242,-6.61
2013-12-31,12300.3249,-0.56
2014-12-31,12112.5882,-1.53
2015-12-31,8814.001,-27.23
2016-12-31,8710.0967,-1.18
2017-12-31,9925.3862,13.95
2018-12-31,9001.2342,-9.31
2019-12-31,8717.1863,-3.16
