Macrotrends Data Download

Brazil Literacy Rate 1980-2020


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Literacy Rate, Annual Change, 
1980-12-31,74.5867
2000-12-31,86.3679,11.78
2004-12-31,88.6162,2.25
2006-12-31,89.6152,1
2007-12-31,90.0094,0.39
2008-12-31,90.0366,0.03
2009-12-31,90.2982,0.26
2010-12-31,90.3792,0.08
2011-12-31,91.4112,1.03
2012-12-31,91.3379,-0.07
2013-12-31,91.4842,0.15
2014-12-31,91.7294,0.25
2015-12-31,92.0479,0.32
2016-12-31,92.8084,0.76
2017-12-31,93.0758,0.27
2018-12-31,93.2275,0.15
