Macrotrends Data Download

Brazil Death Rate 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Deaths per 1000 People, Annual % Change
1950-12-31,16.367
1951-12-31,16.082,-1.74
1952-12-31,15.798,-1.77
1953-12-31,15.513,-1.8
1954-12-31,15.228,-1.84
1955-12-31,14.944,-1.86
1956-12-31,14.659,-1.91
1957-12-31,14.375,-1.94
1958-12-31,14.09,-1.98
1959-12-31,13.787,-2.15
1960-12-31,13.484,-2.2
1961-12-31,13.182,-2.24
1962-12-31,12.879,-2.3
1963-12-31,12.576,-2.35
1964-12-31,12.239,-2.68
1965-12-31,11.902,-2.75
1966-12-31,11.565,-2.83
1967-12-31,11.228,-2.91
1968-12-31,10.891,-3
1969-12-31,10.625,-2.44
1970-12-31,10.359,-2.5
1971-12-31,10.092,-2.58
1972-12-31,9.826,-2.64
1973-12-31,9.56,-2.71
1974-12-31,9.403,-1.64
1975-12-31,9.245,-1.68
1976-12-31,9.088,-1.7
1977-12-31,8.93,-1.74
1978-12-31,8.773,-1.76
1979-12-31,8.632,-1.61
1980-12-31,8.492,-1.62
1981-12-31,8.351,-1.66
1982-12-31,8.211,-1.68
1983-12-31,8.07,-1.72
1984-12-31,7.911,-1.97
1985-12-31,7.752,-2.01
1986-12-31,7.592,-2.06
1987-12-31,7.433,-2.09
1988-12-31,7.274,-2.14
1989-12-31,7.157,-1.61
1990-12-31,7.04,-1.63
1991-12-31,6.922,-1.68
1992-12-31,6.805,-1.69
1993-12-31,6.688,-1.72
1994-12-31,6.614,-1.11
1995-12-31,6.539,-1.13
1996-12-31,6.465,-1.13
1997-12-31,6.39,-1.16
1998-12-31,6.316,-1.16
1999-12-31,6.274,-0.66
2000-12-31,6.233,-0.65
2001-12-31,6.191,-0.67
2002-12-31,6.15,-0.66
2003-12-31,6.108,-0.68
2004-12-31,6.09,-0.29
2005-12-31,6.072,-0.3
2006-12-31,6.053,-0.31
2007-12-31,6.035,-0.3
2008-12-31,6.017,-0.3
2009-12-31,6.04,0.38
2010-12-31,6.063,0.38
2011-12-31,6.086,0.38
2012-12-31,6.109,0.38
2013-12-31,6.132,0.38
2014-12-31,6.189,0.93
2015-12-31,6.246,0.92
2016-12-31,6.303,0.91
2017-12-31,6.36,0.9
2018-12-31,6.417,0.9
2019-12-31,6.503,1.34
2020-12-31,6.588,1.31
2021-12-31,6.674,1.31
2022-12-31,6.759,1.27
2023-12-31,6.845,1.27
2024-12-31,6.944,1.45
2025-12-31,7.042,1.41
2026-12-31,7.141,1.41
2027-12-31,7.239,1.37
2028-12-31,7.338,1.37
2029-12-31,7.45,1.53
2030-12-31,7.561,1.49
2031-12-31,7.673,1.48
2032-12-31,7.784,1.45
2033-12-31,7.896,1.44
2034-12-31,8.022,1.6
2035-12-31,8.148,1.57
2036-12-31,8.275,1.56
2037-12-31,8.401,1.52
2038-12-31,8.527,1.5
2039-12-31,8.663,1.59
2040-12-31,8.799,1.57
2041-12-31,8.934,1.53
2042-12-31,9.07,1.52
2043-12-31,9.206,1.5
2044-12-31,9.345,1.51
2045-12-31,9.484,1.49
2046-12-31,9.623,1.47
2047-12-31,9.762,1.44
2048-12-31,9.901,1.42
2049-12-31,10.04,1.4
2050-12-31,10.179,1.38
2051-12-31,10.317,1.36
2052-12-31,10.456,1.35
2053-12-31,10.595,1.33
2054-12-31,10.735,1.32
2055-12-31,10.875,1.3
2056-12-31,11.015,1.29
2057-12-31,11.155,1.27
2058-12-31,11.295,1.26
2059-12-31,11.44,1.28
2060-12-31,11.585,1.27
2061-12-31,11.73,1.25
2062-12-31,11.875,1.24
2063-12-31,12.02,1.22
2064-12-31,12.162,1.18
2065-12-31,12.304,1.17
2066-12-31,12.446,1.15
2067-12-31,12.588,1.14
2068-12-31,12.73,1.13
2069-12-31,12.866,1.07
2070-12-31,13.002,1.06
2071-12-31,13.138,1.05
2072-12-31,13.274,1.04
2073-12-31,13.41,1.02
2074-12-31,13.522,0.84
2075-12-31,13.635,0.84
2076-12-31,13.747,0.82
2077-12-31,13.86,0.82
2078-12-31,13.972,0.81
2079-12-31,14.044,0.52
2080-12-31,14.116,0.51
2081-12-31,14.189,0.52
2082-12-31,14.261,0.51
2083-12-31,14.333,0.5
2084-12-31,14.369,0.25
2085-12-31,14.405,0.25
2086-12-31,14.44,0.24
2087-12-31,14.476,0.25
2088-12-31,14.512,0.25
2089-12-31,14.524,0.08
2090-12-31,14.536,0.08
2091-12-31,14.547,0.08
2092-12-31,14.559,0.08
2093-12-31,14.571,0.08
2094-12-31,14.561,-0.07
2095-12-31,14.551,-0.07
2096-12-31,14.542,-0.06
2097-12-31,14.532,-0.07
2098-12-31,14.522,-0.07
2099-12-31,14.512,-0.07
2100-12-31,14.502,-0.07
