Macrotrends Data Download

Brazil Birth Rate 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Births per 1000 People, Annual % Change
1950-12-31,44.562
1951-12-31,44.333,-0.51
1952-12-31,44.104,-0.52
1953-12-31,43.875,-0.52
1954-12-31,43.646,-0.52
1955-12-31,43.417,-0.52
1956-12-31,43.188,-0.53
1957-12-31,42.959,-0.53
1958-12-31,42.73,-0.53
1959-12-31,42.456,-0.64
1960-12-31,42.183,-0.64
1961-12-31,41.909,-0.65
1962-12-31,41.636,-0.65
1963-12-31,41.362,-0.66
1964-12-31,40.53,-2.01
1965-12-31,39.697,-2.06
1966-12-31,38.865,-2.1
1967-12-31,38.032,-2.14
1968-12-31,37.2,-2.19
1969-12-31,36.457,-2
1970-12-31,35.715,-2.04
1971-12-31,34.972,-2.08
1972-12-31,34.23,-2.12
1973-12-31,33.487,-2.17
1974-12-31,33.275,-0.63
1975-12-31,33.063,-0.64
1976-12-31,32.851,-0.64
1977-12-31,32.639,-0.65
1978-12-31,32.427,-0.65
1979-12-31,32.113,-0.97
1980-12-31,31.798,-0.98
1981-12-31,31.484,-0.99
1982-12-31,31.169,-1
1983-12-31,30.855,-1.01
1984-12-31,30.002,-2.76
1985-12-31,29.15,-2.84
1986-12-31,28.297,-2.93
1987-12-31,27.445,-3.01
1988-12-31,26.592,-3.11
1989-12-31,25.959,-2.38
1990-12-31,25.327,-2.43
1991-12-31,24.694,-2.5
1992-12-31,24.062,-2.56
1993-12-31,23.429,-2.63
1994-12-31,23.04,-1.66
1995-12-31,22.65,-1.69
1996-12-31,22.261,-1.72
1997-12-31,21.871,-1.75
1998-12-31,21.482,-1.78
1999-12-31,20.92,-2.62
2000-12-31,20.358,-2.69
2001-12-31,19.796,-2.76
2002-12-31,19.234,-2.84
2003-12-31,18.672,-2.92
2004-12-31,18.15,-2.8
2005-12-31,17.627,-2.88
2006-12-31,17.105,-2.96
2007-12-31,16.582,-3.06
2008-12-31,16.06,-3.15
2009-12-31,15.822,-1.48
2010-12-31,15.584,-1.5
2011-12-31,15.346,-1.53
2012-12-31,15.108,-1.55
2013-12-31,14.87,-1.58
2014-12-31,14.711,-1.07
2015-12-31,14.551,-1.09
2016-12-31,14.392,-1.09
2017-12-31,14.232,-1.11
2018-12-31,14.073,-1.12
2019-12-31,13.82,-1.8
2020-12-31,13.566,-1.84
2021-12-31,13.313,-1.86
2022-12-31,13.059,-1.91
2023-12-31,12.806,-1.94
2024-12-31,12.58,-1.76
2025-12-31,12.354,-1.8
2026-12-31,12.127,-1.84
2027-12-31,11.901,-1.86
2028-12-31,11.675,-1.9
2029-12-31,11.508,-1.43
2030-12-31,11.342,-1.44
2031-12-31,11.175,-1.47
2032-12-31,11.009,-1.49
2033-12-31,10.842,-1.52
2034-12-31,10.706,-1.25
2035-12-31,10.57,-1.27
2036-12-31,10.434,-1.29
2037-12-31,10.298,-1.3
2038-12-31,10.162,-1.32
2039-12-31,10.064,-0.96
2040-12-31,9.966,-0.97
2041-12-31,9.869,-0.97
2042-12-31,9.771,-0.99
2043-12-31,9.673,-1
2044-12-31,9.608,-0.67
2045-12-31,9.543,-0.68
2046-12-31,9.478,-0.68
2047-12-31,9.413,-0.69
2048-12-31,9.348,-0.69
2049-12-31,9.29,-0.62
2050-12-31,9.232,-0.62
2051-12-31,9.173,-0.64
2052-12-31,9.115,-0.63
2053-12-31,9.057,-0.64
2054-12-31,9.002,-0.61
2055-12-31,8.948,-0.6
2056-12-31,8.893,-0.61
2057-12-31,8.839,-0.61
2058-12-31,8.784,-0.62
2059-12-31,8.74,-0.5
2060-12-31,8.697,-0.49
2061-12-31,8.653,-0.51
2062-12-31,8.61,-0.5
2063-12-31,8.566,-0.51
2064-12-31,8.531,-0.41
2065-12-31,8.497,-0.4
2066-12-31,8.462,-0.41
2067-12-31,8.428,-0.4
2068-12-31,8.393,-0.42
2069-12-31,8.376,-0.2
2070-12-31,8.36,-0.19
2071-12-31,8.343,-0.2
2072-12-31,8.327,-0.19
2073-12-31,8.31,-0.2
2074-12-31,8.303,-0.08
2075-12-31,8.295,-0.1
2076-12-31,8.288,-0.08
2077-12-31,8.28,-0.1
2078-12-31,8.273,-0.08
2079-12-31,8.273,0
2080-12-31,8.273,0
2081-12-31,8.273,0
2082-12-31,8.273,0
2083-12-31,8.273,0
2084-12-31,8.272,-0.01
2085-12-31,8.272,0
2086-12-31,8.271,-0.01
2087-12-31,8.271,0
2088-12-31,8.27,-0.01
2089-12-31,8.272,0.02
2090-12-31,8.275,0.04
2091-12-31,8.277,0.02
2092-12-31,8.28,0.04
2093-12-31,8.282,0.02
2094-12-31,8.281,-0.01
2095-12-31,8.281,0
2096-12-31,8.28,-0.01
2097-12-31,8.28,0
2098-12-31,8.279,-0.01
2099-12-31,8.278,-0.01
2100-12-31,8.278,0
