Macrotrends Data Download

China GDP Per Capita 1960-2020


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Per Capita (US $), Annual Growth Rate (%), 
1960-12-31,89.5205
1961-12-31,75.8058,-15.32
1962-12-31,70.9094,-6.46
1963-12-31,74.3136,4.8
1964-12-31,85.4986,15.05
1965-12-31,98.4868,15.19
1966-12-31,104.3246,5.93
1967-12-31,96.5895,-7.41
1968-12-31,91.4727,-5.3
1969-12-31,100.1299,9.46
1970-12-31,113.163,13.02
1971-12-31,118.6546,4.85
1972-12-31,131.8836,11.15
1973-12-31,157.0904,19.11
1974-12-31,160.1401,1.94
1975-12-31,178.3418,11.37
1976-12-31,165.4055,-7.25
1977-12-31,185.4228,12.1
1978-12-31,156.3964,-15.65
1979-12-31,183.9832,17.64
1980-12-31,194.8047,5.88
1981-12-31,197.0715,1.16
1982-12-31,203.3349,3.18
1983-12-31,225.4319,10.87
1984-12-31,250.714,11.21
1985-12-31,294.4588,17.45
1986-12-31,281.9281,-4.26
1987-12-31,251.812,-10.68
1988-12-31,283.5377,12.6
1989-12-31,310.8819,9.64
1990-12-31,317.8847,2.25
1991-12-31,333.1421,4.8
1992-12-31,366.4607,10
1993-12-31,377.3898,2.98
1994-12-31,473.4923,25.47
1995-12-31,609.6567,28.76
1996-12-31,709.4138,16.36
1997-12-31,781.7442,10.2
1998-12-31,828.5805,5.99
1999-12-31,873.2871,5.4
2000-12-31,959.3725,9.86
2001-12-31,1053.1082,9.77
2002-12-31,1148.5083,9.06
2003-12-31,1288.6433,12.2
2004-12-31,1508.6681,17.07
2005-12-31,1753.4178,16.22
2006-12-31,2099.2294,19.72
2007-12-31,2693.9698,28.33
2008-12-31,3468.3045,28.74
2009-12-31,3832.236,10.49
2010-12-31,4550.4536,18.74
2011-12-31,5618.1325,23.46
2012-12-31,6316.9189,12.44
2013-12-31,7050.6459,11.62
2014-12-31,7678.5994,8.91
2015-12-31,8066.9424,5.06
2016-12-31,8147.9381,1
2017-12-31,8879.4381,8.98
2018-12-31,9976.6768,12.36
2019-12-31,10261.6791,2.86
