Macrotrends Data Download

China Birth Rate 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Births per 1000 People, Annual % Change
1950-12-31,46.133
1951-12-31,44.921,-2.63
1952-12-31,43.71,-2.7
1953-12-31,42.498,-2.77
1954-12-31,41.286,-2.85
1955-12-31,40.075,-2.93
1956-12-31,38.863,-3.02
1957-12-31,37.652,-3.12
1958-12-31,36.44,-3.22
1959-12-31,37.034,1.63
1960-12-31,37.629,1.61
1961-12-31,38.223,1.58
1962-12-31,38.818,1.56
1963-12-31,39.412,1.53
1964-12-31,39.427,0.04
1965-12-31,39.442,0.04
1966-12-31,39.458,0.04
1967-12-31,39.473,0.04
1968-12-31,39.488,0.04
1969-12-31,37.976,-3.83
1970-12-31,36.463,-3.98
1971-12-31,34.951,-4.15
1972-12-31,33.438,-4.33
1973-12-31,31.926,-4.52
1974-12-31,30.039,-5.91
1975-12-31,28.152,-6.28
1976-12-31,26.265,-6.7
1977-12-31,24.378,-7.18
1978-12-31,22.491,-7.74
1979-12-31,22.231,-1.16
1980-12-31,21.972,-1.17
1981-12-31,21.712,-1.18
1982-12-31,21.453,-1.19
1983-12-31,21.193,-1.21
1984-12-31,21.908,3.37
1985-12-31,22.623,3.26
1986-12-31,23.339,3.16
1987-12-31,24.054,3.06
1988-12-31,24.769,2.97
1989-12-31,23.299,-5.93
1990-12-31,21.829,-6.31
1991-12-31,20.359,-6.73
1992-12-31,18.889,-7.22
1993-12-31,17.419,-7.78
1994-12-31,16.85,-3.27
1995-12-31,16.28,-3.38
1996-12-31,15.711,-3.5
1997-12-31,15.141,-3.63
1998-12-31,14.572,-3.76
1999-12-31,14.274,-2.05
2000-12-31,13.976,-2.09
2001-12-31,13.679,-2.13
2002-12-31,13.381,-2.18
2003-12-31,13.083,-2.23
2004-12-31,13.028,-0.42
2005-12-31,12.973,-0.42
2006-12-31,12.917,-0.43
2007-12-31,12.862,-0.43
2008-12-31,12.807,-0.43
2009-12-31,12.787,-0.16
2010-12-31,12.767,-0.16
2011-12-31,12.748,-0.15
2012-12-31,12.728,-0.16
2013-12-31,12.708,-0.16
2014-12-31,12.552,-1.23
2015-12-31,12.397,-1.23
2016-12-31,12.241,-1.26
2017-12-31,12.086,-1.27
2018-12-31,11.93,-1.29
2019-12-31,11.673,-2.15
2020-12-31,11.416,-2.2
2021-12-31,11.159,-2.25
2022-12-31,10.902,-2.3
2023-12-31,10.645,-2.36
2024-12-31,10.478,-1.57
2025-12-31,10.31,-1.6
2026-12-31,10.143,-1.62
2027-12-31,9.975,-1.66
2028-12-31,9.808,-1.67
2029-12-31,9.738,-0.71
2030-12-31,9.669,-0.71
2031-12-31,9.599,-0.72
2032-12-31,9.53,-0.72
2033-12-31,9.46,-0.73
2034-12-31,9.436,-0.25
2035-12-31,9.411,-0.26
2036-12-31,9.387,-0.26
2037-12-31,9.362,-0.27
2038-12-31,9.338,-0.26
2039-12-31,9.332,-0.06
2040-12-31,9.327,-0.05
2041-12-31,9.321,-0.06
2042-12-31,9.316,-0.05
2043-12-31,9.31,-0.06
2044-12-31,9.284,-0.28
2045-12-31,9.258,-0.28
2046-12-31,9.231,-0.29
2047-12-31,9.205,-0.28
2048-12-31,9.179,-0.28
2049-12-31,9.15,-0.32
2050-12-31,9.12,-0.33
2051-12-31,9.091,-0.32
2052-12-31,9.061,-0.33
2053-12-31,9.032,-0.32
2054-12-31,9.009,-0.25
2055-12-31,8.986,-0.26
2056-12-31,8.962,-0.27
2057-12-31,8.939,-0.26
2058-12-31,8.916,-0.26
2059-12-31,8.906,-0.11
2060-12-31,8.897,-0.1
2061-12-31,8.887,-0.11
2062-12-31,8.878,-0.1
2063-12-31,8.868,-0.11
2064-12-31,8.873,0.06
2065-12-31,8.879,0.07
2066-12-31,8.884,0.06
2067-12-31,8.89,0.07
2068-12-31,8.895,0.06
2069-12-31,8.904,0.1
2070-12-31,8.913,0.1
2071-12-31,8.921,0.09
2072-12-31,8.93,0.1
2073-12-31,8.939,0.1
2074-12-31,8.947,0.09
2075-12-31,8.954,0.08
2076-12-31,8.962,0.09
2077-12-31,8.969,0.08
2078-12-31,8.977,0.09
2079-12-31,8.975,-0.02
2080-12-31,8.973,-0.02
2081-12-31,8.972,-0.01
2082-12-31,8.97,-0.02
2083-12-31,8.968,-0.02
2084-12-31,8.959,-0.1
2085-12-31,8.951,-0.09
2086-12-31,8.942,-0.1
2087-12-31,8.934,-0.09
2088-12-31,8.925,-0.1
2089-12-31,8.916,-0.1
2090-12-31,8.907,-0.1
2091-12-31,8.898,-0.1
2092-12-31,8.889,-0.1
2093-12-31,8.88,-0.1
2094-12-31,8.875,-0.06
2095-12-31,8.869,-0.07
2096-12-31,8.864,-0.06
2097-12-31,8.858,-0.07
2098-12-31,8.853,-0.06
2099-12-31,8.848,-0.06
2100-12-31,8.842,-0.07
