Macrotrends Data Download

China Net Migration Rate 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Per 1000 Population, Annual % Change
1950-12-31,-0.129
1951-12-31,-0.116,-10.08
1952-12-31,-0.102,-12.07
1953-12-31,-0.088,-13.73
1954-12-31,-0.074,-15.91
1955-12-31,-0.06,-18.92
1956-12-31,-0.047,-21.67
1957-12-31,-0.033,-29.79
1958-12-31,-0.019,-42.42
1959-12-31,-0.08,321.05
1960-12-31,-0.141,76.25
1961-12-31,-0.203,43.97
1962-12-31,-0.264,30.05
1963-12-31,-0.325,23.11
1964-12-31,-0.268,-17.54
1965-12-31,-0.211,-21.27
1966-12-31,-0.155,-26.54
1967-12-31,-0.098,-36.77
1968-12-31,-0.041,-58.16
1969-12-31,-0.083,102.44
1970-12-31,-0.125,50.6
1971-12-31,-0.168,34.4
1972-12-31,-0.21,25
1973-12-31,-0.252,20
1974-12-31,-0.204,-19.05
1975-12-31,-0.155,-24.02
1976-12-31,-0.107,-30.97
1977-12-31,-0.058,-45.79
1978-12-31,-0.01,-82.76
1979-12-31,-0.016,60
1980-12-31,-0.022,37.5
1981-12-31,-0.027,22.73
1982-12-31,-0.033,22.22
1983-12-31,-0.039,18.18
1984-12-31,-0.047,20.51
1985-12-31,-0.054,14.89
1986-12-31,-0.062,14.81
1987-12-31,-0.069,11.29
1988-12-31,-0.077,11.59
1989-12-31,-0.087,12.99
1990-12-31,-0.098,12.64
1991-12-31,-0.108,10.2
1992-12-31,-0.119,10.19
1993-12-31,-0.129,8.4
1994-12-31,-0.115,-10.85
1995-12-31,-0.102,-11.3
1996-12-31,-0.088,-13.73
1997-12-31,-0.075,-14.77
1998-12-31,-0.061,-18.67
1999-12-31,-0.109,78.69
2000-12-31,-0.157,44.04
2001-12-31,-0.204,29.94
2002-12-31,-0.252,23.53
2003-12-31,-0.3,19.05
2004-12-31,-0.305,1.67
2005-12-31,-0.309,1.31
2006-12-31,-0.314,1.62
2007-12-31,-0.318,1.27
2008-12-31,-0.323,1.57
2009-12-31,-0.303,-6.19
2010-12-31,-0.283,-6.6
2011-12-31,-0.264,-6.71
2012-12-31,-0.244,-7.58
2013-12-31,-0.224,-8.2
2014-12-31,-0.228,1.79
2015-12-31,-0.232,1.75
2016-12-31,-0.237,2.16
2017-12-31,-0.241,1.69
2018-12-31,-0.245,1.66
2019-12-31,-0.247,0.82
2020-12-31,-0.249,0.81
2021-12-31,-0.252,1.2
2022-12-31,-0.254,0.79
2023-12-31,-0.256,0.79
2024-12-31,-0.253,-1.17
2025-12-31,-0.25,-1.19
2026-12-31,-0.247,-1.2
2027-12-31,-0.244,-1.21
2028-12-31,-0.241,-1.23
2029-12-31,-0.235,-2.49
2030-12-31,-0.23,-2.13
2031-12-31,-0.224,-2.61
2032-12-31,-0.219,-2.23
2033-12-31,-0.213,-2.74
2034-12-31,-0.213,0
2035-12-31,-0.213,0
2036-12-31,-0.214,0.47
2037-12-31,-0.214,0
2038-12-31,-0.214,0
2039-12-31,-0.214,0
2040-12-31,-0.215,0.47
2041-12-31,-0.215,0
2042-12-31,-0.216,0.47
2043-12-31,-0.216,0
2044-12-31,-0.217,0.46
2045-12-31,-0.217,0
2046-12-31,-0.218,0.46
2047-12-31,-0.218,0
2048-12-31,-0.219,0.46
2049-12-31,-0.22,0.46
2050-12-31,-0.221,0.45
2051-12-31,-0.222,0.45
2052-12-31,-0.223,0.45
2053-12-31,-0.224,0.45
2054-12-31,-0.225,0.45
2055-12-31,-0.226,0.44
2056-12-31,-0.227,0.44
2057-12-31,-0.228,0.44
2058-12-31,-0.229,0.44
2059-12-31,-0.23,0.44
2060-12-31,-0.232,0.87
2061-12-31,-0.233,0.43
2062-12-31,-0.235,0.86
2063-12-31,-0.236,0.43
2064-12-31,-0.237,0.42
2065-12-31,-0.239,0.84
2066-12-31,-0.24,0.42
2067-12-31,-0.242,0.83
2068-12-31,-0.243,0.41
2069-12-31,-0.244,0.41
2070-12-31,-0.246,0.82
2071-12-31,-0.247,0.41
2072-12-31,-0.249,0.81
2073-12-31,-0.25,0.4
2074-12-31,-0.252,0.8
2075-12-31,-0.253,0.4
2076-12-31,-0.255,0.79
2077-12-31,-0.256,0.39
2078-12-31,-0.258,0.78
2079-12-31,-0.259,0.39
2080-12-31,-0.261,0.77
2081-12-31,-0.262,0.38
2082-12-31,-0.264,0.76
2083-12-31,-0.265,0.38
2084-12-31,-0.267,0.75
2085-12-31,-0.268,0.37
2086-12-31,-0.27,0.75
2087-12-31,-0.271,0.37
2088-12-31,-0.273,0.74
2089-12-31,-0.274,0.37
2090-12-31,-0.276,0.73
2091-12-31,-0.277,0.36
2092-12-31,-0.279,0.72
2093-12-31,-0.28,0.36
2094-12-31,-0.281,0.36
2095-12-31,-0.283,0.71
2096-12-31,-0.284,0.35
2097-12-31,-0.286,0.7
2098-12-31,-0.287,0.35
2099-12-31,-0.288,0.35
2100-12-31,-0.29,0.69
