Macrotrends Data Download

China Death Rate 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Deaths per 1000 People, Annual % Change
1950-12-31,23.366
1951-12-31,23.106,-1.11
1952-12-31,22.845,-1.13
1953-12-31,22.585,-1.14
1954-12-31,22.325,-1.15
1955-12-31,22.064,-1.17
1956-12-31,21.804,-1.18
1957-12-31,21.543,-1.2
1958-12-31,21.283,-1.21
1959-12-31,21.157,-0.59
1960-12-31,21.031,-0.6
1961-12-31,20.905,-0.6
1962-12-31,20.779,-0.6
1963-12-31,20.653,-0.61
1964-12-31,19.082,-7.61
1965-12-31,17.511,-8.23
1966-12-31,15.941,-8.97
1967-12-31,14.37,-9.86
1968-12-31,12.799,-10.93
1969-12-31,12.075,-5.66
1970-12-31,11.351,-6
1971-12-31,10.626,-6.39
1972-12-31,9.902,-6.81
1973-12-31,9.178,-7.31
1974-12-31,8.772,-4.42
1975-12-31,8.366,-4.63
1976-12-31,7.959,-4.86
1977-12-31,7.553,-5.1
1978-12-31,7.147,-5.38
1979-12-31,7.039,-1.51
1980-12-31,6.93,-1.55
1981-12-31,6.822,-1.56
1982-12-31,6.713,-1.6
1983-12-31,6.605,-1.61
1984-12-31,6.625,0.3
1985-12-31,6.645,0.3
1986-12-31,6.664,0.29
1987-12-31,6.684,0.3
1988-12-31,6.704,0.3
1989-12-31,6.702,-0.03
1990-12-31,6.7,-0.03
1991-12-31,6.699,-0.01
1992-12-31,6.697,-0.03
1993-12-31,6.695,-0.03
1994-12-31,6.69,-0.07
1995-12-31,6.685,-0.07
1996-12-31,6.68,-0.07
1997-12-31,6.675,-0.07
1998-12-31,6.67,-0.07
1999-12-31,6.665,-0.07
2000-12-31,6.66,-0.08
2001-12-31,6.655,-0.08
2002-12-31,6.65,-0.08
2003-12-31,6.645,-0.08
2004-12-31,6.686,0.62
2005-12-31,6.727,0.61
2006-12-31,6.767,0.59
2007-12-31,6.808,0.61
2008-12-31,6.849,0.6
2009-12-31,6.88,0.45
2010-12-31,6.911,0.45
2011-12-31,6.941,0.43
2012-12-31,6.972,0.45
2013-12-31,7.003,0.44
2014-12-31,7.027,0.34
2015-12-31,7.05,0.33
2016-12-31,7.074,0.34
2017-12-31,7.097,0.33
2018-12-31,7.121,0.34
2019-12-31,7.261,1.97
2020-12-31,7.402,1.94
2021-12-31,7.542,1.89
2022-12-31,7.683,1.87
2023-12-31,7.823,1.82
2024-12-31,7.996,2.21
2025-12-31,8.168,2.15
2026-12-31,8.341,2.12
2027-12-31,8.513,2.06
2028-12-31,8.686,2.03
2029-12-31,8.887,2.31
2030-12-31,9.088,2.26
2031-12-31,9.29,2.22
2032-12-31,9.491,2.16
2033-12-31,9.692,2.12
2034-12-31,9.91,2.25
2035-12-31,10.127,2.19
2036-12-31,10.345,2.15
2037-12-31,10.562,2.1
2038-12-31,10.78,2.06
2039-12-31,10.991,1.96
2040-12-31,11.202,1.92
2041-12-31,11.412,1.87
2042-12-31,11.623,1.85
2043-12-31,11.834,1.82
2044-12-31,12.019,1.56
2045-12-31,12.205,1.55
2046-12-31,12.39,1.52
2047-12-31,12.576,1.5
2048-12-31,12.761,1.47
2049-12-31,12.917,1.22
2050-12-31,13.074,1.22
2051-12-31,13.23,1.19
2052-12-31,13.387,1.19
2053-12-31,13.543,1.17
2054-12-31,13.654,0.82
2055-12-31,13.765,0.81
2056-12-31,13.877,0.81
2057-12-31,13.988,0.8
2058-12-31,14.099,0.79
2059-12-31,14.155,0.4
2060-12-31,14.21,0.39
2061-12-31,14.266,0.39
2062-12-31,14.321,0.39
2063-12-31,14.377,0.39
2064-12-31,14.398,0.15
2065-12-31,14.42,0.15
2066-12-31,14.441,0.15
2067-12-31,14.463,0.15
2068-12-31,14.484,0.15
2069-12-31,14.502,0.12
2070-12-31,14.52,0.12
2071-12-31,14.537,0.12
2072-12-31,14.555,0.12
2073-12-31,14.573,0.12
2074-12-31,14.588,0.1
2075-12-31,14.603,0.1
2076-12-31,14.619,0.11
2077-12-31,14.634,0.1
2078-12-31,14.649,0.1
2079-12-31,14.626,-0.16
2080-12-31,14.604,-0.15
2081-12-31,14.581,-0.16
2082-12-31,14.559,-0.15
2083-12-31,14.536,-0.16
2084-12-31,14.462,-0.51
2085-12-31,14.389,-0.5
2086-12-31,14.315,-0.51
2087-12-31,14.242,-0.51
2088-12-31,14.168,-0.52
2089-12-31,14.079,-0.63
2090-12-31,13.991,-0.63
2091-12-31,13.902,-0.64
2092-12-31,13.814,-0.63
2093-12-31,13.725,-0.64
2094-12-31,13.699,-0.19
2095-12-31,13.673,-0.19
2096-12-31,13.646,-0.2
2097-12-31,13.62,-0.19
2098-12-31,13.594,-0.19
2099-12-31,13.568,-0.19
2100-12-31,13.542,-0.19
