Macrotrends Data Download

India Net Migration Rate 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Per 1000 Population, Annual % Change
1950-12-31,-0.043
1951-12-31,-0.047,9.3
1952-12-31,-0.05,6.38
1953-12-31,-0.054,8
1954-12-31,-0.058,7.41
1955-12-31,-0.061,5.17
1956-12-31,-0.065,6.56
1957-12-31,-0.068,4.62
1958-12-31,-0.072,5.88
1959-12-31,-0.065,-9.72
1960-12-31,-0.058,-10.77
1961-12-31,-0.05,-13.79
1962-12-31,-0.043,-14
1963-12-31,-0.036,-16.28
1964-12-31,-0.055,52.78
1965-12-31,-0.074,34.55
1966-12-31,-0.092,24.32
1967-12-31,-0.111,20.65
1968-12-31,-0.13,17.12
1969-12-31,0.039,-130
1970-12-31,0.208,433.33
1971-12-31,0.377,81.25
1972-12-31,0.546,44.83
1973-12-31,0.715,30.95
1974-12-31,0.639,-10.63
1975-12-31,0.563,-11.89
1976-12-31,0.488,-13.32
1977-12-31,0.412,-15.57
1978-12-31,0.336,-18.45
1979-12-31,0.3,-10.71
1980-12-31,0.264,-12
1981-12-31,0.228,-13.64
1982-12-31,0.192,-15.79
1983-12-31,0.156,-18.75
1984-12-31,0.127,-18.59
1985-12-31,0.098,-22.83
1986-12-31,0.069,-29.59
1987-12-31,0.04,-42.03
1988-12-31,0.011,-72.5
1989-12-31,-0.015,-236.36
1990-12-31,-0.041,173.33
1991-12-31,-0.068,65.85
1992-12-31,-0.094,38.24
1993-12-31,-0.12,27.66
1994-12-31,-0.123,2.5
1995-12-31,-0.126,2.44
1996-12-31,-0.129,2.38
1997-12-31,-0.132,2.33
1998-12-31,-0.135,2.27
1999-12-31,-0.177,31.11
2000-12-31,-0.218,23.16
2001-12-31,-0.26,19.27
2002-12-31,-0.301,15.77
2003-12-31,-0.343,13.95
2004-12-31,-0.364,6.12
2005-12-31,-0.384,5.49
2006-12-31,-0.405,5.47
2007-12-31,-0.425,4.94
2008-12-31,-0.446,4.94
2009-12-31,-0.431,-3.36
2010-12-31,-0.415,-3.71
2011-12-31,-0.4,-3.61
2012-12-31,-0.384,-4
2013-12-31,-0.369,-3.91
2014-12-31,-0.374,1.36
2015-12-31,-0.38,1.6
2016-12-31,-0.385,1.32
2017-12-31,-0.391,1.56
2018-12-31,-0.396,1.28
2019-12-31,-0.383,-3.28
2020-12-31,-0.369,-3.66
2021-12-31,-0.356,-3.52
2022-12-31,-0.342,-3.93
2023-12-31,-0.329,-3.8
2024-12-31,-0.323,-1.82
2025-12-31,-0.317,-1.86
2026-12-31,-0.311,-1.89
2027-12-31,-0.305,-1.93
2028-12-31,-0.299,-1.97
2029-12-31,-0.294,-1.67
2030-12-31,-0.288,-2.04
2031-12-31,-0.283,-1.74
2032-12-31,-0.277,-2.12
2033-12-31,-0.272,-1.81
2034-12-31,-0.27,-0.74
2035-12-31,-0.269,-0.37
2036-12-31,-0.267,-0.74
2037-12-31,-0.266,-0.37
2038-12-31,-0.264,-0.75
2039-12-31,-0.263,-0.38
2040-12-31,-0.262,-0.38
2041-12-31,-0.26,-0.76
2042-12-31,-0.259,-0.38
2043-12-31,-0.258,-0.39
2044-12-31,-0.257,-0.39
2045-12-31,-0.256,-0.39
2046-12-31,-0.256,0
2047-12-31,-0.255,-0.39
2048-12-31,-0.254,-0.39
2049-12-31,-0.253,-0.39
2050-12-31,-0.253,0
2051-12-31,-0.252,-0.4
2052-12-31,-0.252,0
2053-12-31,-0.251,-0.4
2054-12-31,-0.251,0
2055-12-31,-0.251,0
2056-12-31,-0.25,-0.4
2057-12-31,-0.25,0
2058-12-31,-0.25,0
2059-12-31,-0.25,0
2060-12-31,-0.25,0
2061-12-31,-0.251,0.4
2062-12-31,-0.251,0
2063-12-31,-0.251,0
2064-12-31,-0.251,0
2065-12-31,-0.251,0
2066-12-31,-0.252,0.4
2067-12-31,-0.252,0
2068-12-31,-0.252,0
2069-12-31,-0.253,0.4
2070-12-31,-0.253,0
2071-12-31,-0.254,0.4
2072-12-31,-0.254,0
2073-12-31,-0.255,0.39
2074-12-31,-0.256,0.39
2075-12-31,-0.257,0.39
2076-12-31,-0.257,0
2077-12-31,-0.258,0.39
2078-12-31,-0.259,0.39
2079-12-31,-0.26,0.39
2080-12-31,-0.261,0.38
2081-12-31,-0.262,0.38
2082-12-31,-0.263,0.38
2083-12-31,-0.264,0.38
2084-12-31,-0.265,0.38
2085-12-31,-0.266,0.38
2086-12-31,-0.267,0.38
2087-12-31,-0.268,0.37
2088-12-31,-0.269,0.37
2089-12-31,-0.27,0.37
2090-12-31,-0.271,0.37
2091-12-31,-0.273,0.74
2092-12-31,-0.274,0.37
2093-12-31,-0.275,0.36
2094-12-31,-0.276,0.36
2095-12-31,-0.278,0.72
2096-12-31,-0.279,0.36
2097-12-31,-0.281,0.72
2098-12-31,-0.282,0.36
2099-12-31,-0.283,0.35
2100-12-31,-0.285,0.71
