Macrotrends Data Download

Russia Death Rate 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Deaths per 1000 People, Annual % Change
1950-12-31,12.26
1951-12-31,11.839,-3.43
1952-12-31,11.418,-3.56
1953-12-31,10.997,-3.69
1954-12-31,10.576,-3.83
1955-12-31,10.155,-3.98
1956-12-31,9.734,-4.15
1957-12-31,9.313,-4.33
1958-12-31,8.892,-4.52
1959-12-31,8.734,-1.78
1960-12-31,8.576,-1.81
1961-12-31,8.419,-1.83
1962-12-31,8.261,-1.88
1963-12-31,8.103,-1.91
1964-12-31,8.169,0.81
1965-12-31,8.236,0.82
1966-12-31,8.302,0.8
1967-12-31,8.369,0.81
1968-12-31,8.435,0.79
1969-12-31,8.624,2.24
1970-12-31,8.813,2.19
1971-12-31,9.002,2.14
1972-12-31,9.191,2.1
1973-12-31,9.38,2.06
1974-12-31,9.589,2.23
1975-12-31,9.797,2.17
1976-12-31,10.006,2.13
1977-12-31,10.214,2.08
1978-12-31,10.423,2.05
1979-12-31,10.603,1.73
1980-12-31,10.783,1.7
1981-12-31,10.963,1.67
1982-12-31,11.143,1.64
1983-12-31,11.323,1.62
1984-12-31,11.279,-0.39
1985-12-31,11.236,-0.38
1986-12-31,11.192,-0.39
1987-12-31,11.149,-0.38
1988-12-31,11.105,-0.39
1989-12-31,11.54,3.92
1990-12-31,11.974,3.76
1991-12-31,12.409,3.63
1992-12-31,12.843,3.5
1993-12-31,13.278,3.39
1994-12-31,13.544,2
1995-12-31,13.811,1.97
1996-12-31,14.077,1.93
1997-12-31,14.344,1.9
1998-12-31,14.61,1.85
1999-12-31,14.894,1.94
2000-12-31,15.178,1.91
2001-12-31,15.463,1.88
2002-12-31,15.747,1.84
2003-12-31,16.031,1.8
2004-12-31,15.811,-1.37
2005-12-31,15.59,-1.4
2006-12-31,15.37,-1.41
2007-12-31,15.149,-1.44
2008-12-31,14.929,-1.45
2009-12-31,14.621,-2.06
2010-12-31,14.313,-2.11
2011-12-31,14.005,-2.15
2012-12-31,13.697,-2.2
2013-12-31,13.389,-2.25
2014-12-31,13.255,-1
2015-12-31,13.121,-1.01
2016-12-31,12.987,-1.02
2017-12-31,12.853,-1.03
2018-12-31,12.719,-1.04
2019-12-31,12.785,0.52
2020-12-31,12.852,0.52
2021-12-31,12.918,0.51
2022-12-31,12.985,0.52
2023-12-31,13.051,0.51
2024-12-31,13.11,0.45
2025-12-31,13.169,0.45
2026-12-31,13.229,0.46
2027-12-31,13.288,0.45
2028-12-31,13.347,0.44
2029-12-31,13.429,0.61
2030-12-31,13.51,0.6
2031-12-31,13.592,0.61
2032-12-31,13.673,0.6
2033-12-31,13.755,0.6
2034-12-31,13.848,0.68
2035-12-31,13.941,0.67
2036-12-31,14.035,0.67
2037-12-31,14.128,0.66
2038-12-31,14.221,0.66
2039-12-31,14.285,0.45
2040-12-31,14.348,0.44
2041-12-31,14.412,0.45
2042-12-31,14.475,0.44
2043-12-31,14.539,0.44
2044-12-31,14.543,0.03
2045-12-31,14.546,0.02
2046-12-31,14.55,0.03
2047-12-31,14.553,0.02
2048-12-31,14.557,0.03
2049-12-31,14.51,-0.32
2050-12-31,14.464,-0.32
2051-12-31,14.417,-0.32
2052-12-31,14.371,-0.32
2053-12-31,14.324,-0.33
2054-12-31,14.27,-0.38
2055-12-31,14.216,-0.38
2056-12-31,14.163,-0.37
2057-12-31,14.109,-0.38
2058-12-31,14.055,-0.38
2059-12-31,14.033,-0.16
2060-12-31,14.012,-0.15
2061-12-31,13.99,-0.16
2062-12-31,13.969,-0.15
2063-12-31,13.947,-0.16
2064-12-31,13.941,-0.04
2065-12-31,13.935,-0.04
2066-12-31,13.93,-0.04
2067-12-31,13.924,-0.04
2068-12-31,13.918,-0.04
2069-12-31,13.879,-0.28
2070-12-31,13.841,-0.27
2071-12-31,13.802,-0.28
2072-12-31,13.764,-0.28
2073-12-31,13.725,-0.28
2074-12-31,13.622,-0.75
2075-12-31,13.518,-0.76
2076-12-31,13.415,-0.76
2077-12-31,13.311,-0.78
2078-12-31,13.208,-0.77
2079-12-31,13.061,-1.11
2080-12-31,12.914,-1.13
2081-12-31,12.768,-1.13
2082-12-31,12.621,-1.15
2083-12-31,12.474,-1.16
2084-12-31,12.342,-1.06
2085-12-31,12.211,-1.06
2086-12-31,12.079,-1.08
2087-12-31,11.948,-1.08
2088-12-31,11.816,-1.1
2089-12-31,11.762,-0.46
2090-12-31,11.708,-0.46
2091-12-31,11.653,-0.47
2092-12-31,11.599,-0.46
2093-12-31,11.545,-0.47
2094-12-31,11.582,0.32
2095-12-31,11.62,0.33
2096-12-31,11.657,0.32
2097-12-31,11.695,0.33
2098-12-31,11.732,0.32
2099-12-31,11.769,0.32
2100-12-31,11.807,0.32
