Macrotrends Data Download

Russia Net Migration Rate 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Per 1000 Population, Annual % Change
1950-12-31,1.346
1951-12-31,0.918,-31.8
1952-12-31,0.489,-46.73
1953-12-31,0.061,-87.53
1954-12-31,-0.367,-701.64
1955-12-31,-0.796,116.89
1956-12-31,-1.224,53.77
1957-12-31,-1.653,35.05
1958-12-31,-2.081,25.89
1959-12-31,-2.115,1.63
1960-12-31,-2.15,1.65
1961-12-31,-2.184,1.58
1962-12-31,-2.219,1.6
1963-12-31,-2.253,1.53
1964-12-31,-1.974,-12.38
1965-12-31,-1.695,-14.13
1966-12-31,-1.415,-16.52
1967-12-31,-1.136,-19.72
1968-12-31,-0.857,-24.56
1969-12-31,-0.776,-9.45
1970-12-31,-0.694,-10.57
1971-12-31,-0.613,-11.67
1972-12-31,-0.531,-13.38
1973-12-31,-0.45,-15.25
1974-12-31,-0.179,-60.22
1975-12-31,0.092,-151.4
1976-12-31,0.362,293.48
1977-12-31,0.633,74.86
1978-12-31,0.904,42.81
1979-12-31,1.037,14.71
1980-12-31,1.169,12.73
1981-12-31,1.302,11.38
1982-12-31,1.434,10.14
1983-12-31,1.567,9.27
1984-12-31,1.499,-4.34
1985-12-31,1.431,-4.54
1986-12-31,1.362,-4.82
1987-12-31,1.294,-4.99
1988-12-31,1.226,-5.26
1989-12-31,1.654,34.91
1990-12-31,2.083,25.94
1991-12-31,2.511,20.55
1992-12-31,2.94,17.08
1993-12-31,3.368,14.56
1994-12-31,3.339,-0.86
1995-12-31,3.31,-0.87
1996-12-31,3.282,-0.85
1997-12-31,3.253,-0.88
1998-12-31,3.224,-0.89
1999-12-31,3.07,-4.78
2000-12-31,2.915,-5.05
2001-12-31,2.761,-5.28
2002-12-31,2.606,-5.61
2003-12-31,2.452,-5.91
2004-12-31,2.61,6.44
2005-12-31,2.768,6.05
2006-12-31,2.925,5.67
2007-12-31,3.083,5.4
2008-12-31,3.241,5.12
2009-12-31,3.092,-4.6
2010-12-31,2.943,-4.82
2011-12-31,2.795,-5.03
2012-12-31,2.646,-5.33
2013-12-31,2.497,-5.63
2014-12-31,2.248,-9.97
2015-12-31,2,-11.03
2016-12-31,1.751,-12.45
2017-12-31,1.503,-14.16
2018-12-31,1.254,-16.57
2019-12-31,1.127,-10.13
2020-12-31,1.001,-11.18
2021-12-31,0.874,-12.69
2022-12-31,0.748,-14.42
2023-12-31,0.621,-16.98
2024-12-31,0.626,0.81
2025-12-31,0.631,0.8
2026-12-31,0.636,0.79
2027-12-31,0.641,0.79
2028-12-31,0.646,0.78
2029-12-31,0.653,1.08
2030-12-31,0.661,1.23
2031-12-31,0.668,1.06
2032-12-31,0.676,1.2
2033-12-31,0.683,1.04
2034-12-31,0.685,0.29
2035-12-31,0.687,0.29
2036-12-31,0.69,0.44
2037-12-31,0.692,0.29
2038-12-31,0.694,0.29
2039-12-31,0.696,0.29
2040-12-31,0.698,0.29
2041-12-31,0.7,0.29
2042-12-31,0.702,0.29
2043-12-31,0.704,0.28
2044-12-31,0.706,0.28
2045-12-31,0.708,0.28
2046-12-31,0.71,0.28
2047-12-31,0.712,0.28
2048-12-31,0.714,0.28
2049-12-31,0.716,0.28
2050-12-31,0.717,0.14
2051-12-31,0.719,0.28
2052-12-31,0.72,0.14
2053-12-31,0.722,0.28
2054-12-31,0.724,0.28
2055-12-31,0.726,0.28
2056-12-31,0.727,0.14
2057-12-31,0.729,0.28
2058-12-31,0.731,0.27
2059-12-31,0.733,0.27
2060-12-31,0.735,0.27
2061-12-31,0.736,0.14
2062-12-31,0.738,0.27
2063-12-31,0.74,0.27
2064-12-31,0.742,0.27
2065-12-31,0.744,0.27
2066-12-31,0.746,0.27
2067-12-31,0.748,0.27
2068-12-31,0.75,0.27
2069-12-31,0.752,0.27
2070-12-31,0.754,0.27
2071-12-31,0.755,0.13
2072-12-31,0.757,0.26
2073-12-31,0.759,0.26
2074-12-31,0.76,0.13
2075-12-31,0.761,0.13
2076-12-31,0.763,0.26
2077-12-31,0.764,0.13
2078-12-31,0.765,0.13
2079-12-31,0.766,0.13
2080-12-31,0.766,0
2081-12-31,0.767,0.13
2082-12-31,0.767,0
2083-12-31,0.768,0.13
2084-12-31,0.768,0
2085-12-31,0.769,0.13
2086-12-31,0.769,0
2087-12-31,0.77,0.13
2088-12-31,0.77,0
2089-12-31,0.77,0
2090-12-31,0.77,0
2091-12-31,0.771,0.13
2092-12-31,0.771,0
2093-12-31,0.771,0
2094-12-31,0.771,0
2095-12-31,0.771,0
2096-12-31,0.772,0.13
2097-12-31,0.772,0
2098-12-31,0.772,0
2099-12-31,0.772,0
2100-12-31,0.772,0
