Macrotrends Data Download

Russia Birth Rate 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Births per 1000 People, Annual % Change
1950-12-31,27.646
1951-12-31,27.403,-0.88
1952-12-31,27.161,-0.88
1953-12-31,26.918,-0.89
1954-12-31,26.675,-0.9
1955-12-31,26.433,-0.91
1956-12-31,26.19,-0.92
1957-12-31,25.948,-0.92
1958-12-31,25.705,-0.94
1959-12-31,24.789,-3.56
1960-12-31,23.872,-3.7
1961-12-31,22.956,-3.84
1962-12-31,22.039,-3.99
1963-12-31,21.123,-4.16
1964-12-31,19.893,-5.82
1965-12-31,18.663,-6.18
1966-12-31,17.432,-6.6
1967-12-31,16.202,-7.06
1968-12-31,14.972,-7.59
1969-12-31,15.052,0.53
1970-12-31,15.132,0.53
1971-12-31,15.211,0.52
1972-12-31,15.291,0.53
1973-12-31,15.371,0.52
1974-12-31,15.451,0.52
1975-12-31,15.531,0.52
1976-12-31,15.61,0.51
1977-12-31,15.69,0.51
1978-12-31,15.77,0.51
1979-12-31,15.963,1.22
1980-12-31,16.157,1.22
1981-12-31,16.35,1.19
1982-12-31,16.544,1.19
1983-12-31,16.737,1.17
1984-12-31,16.625,-0.67
1985-12-31,16.513,-0.67
1986-12-31,16.402,-0.67
1987-12-31,16.29,-0.68
1988-12-31,16.178,-0.69
1989-12-31,15.113,-6.58
1990-12-31,14.048,-7.05
1991-12-31,12.982,-7.59
1992-12-31,11.917,-8.2
1993-12-31,10.852,-8.94
1994-12-31,10.464,-3.58
1995-12-31,10.076,-3.71
1996-12-31,9.688,-3.85
1997-12-31,9.3,-4
1998-12-31,8.912,-4.17
1999-12-31,9.092,2.02
2000-12-31,9.272,1.98
2001-12-31,9.451,1.93
2002-12-31,9.631,1.9
2003-12-31,9.811,1.87
2004-12-31,10.133,3.28
2005-12-31,10.455,3.18
2006-12-31,10.776,3.07
2007-12-31,11.098,2.99
2008-12-31,11.42,2.9
2009-12-31,11.732,2.73
2010-12-31,12.044,2.66
2011-12-31,12.357,2.6
2012-12-31,12.669,2.52
2013-12-31,12.981,2.46
2014-12-31,12.939,-0.32
2015-12-31,12.897,-0.32
2016-12-31,12.854,-0.33
2017-12-31,12.812,-0.33
2018-12-31,12.77,-0.33
2019-12-31,12.482,-2.26
2020-12-31,12.194,-2.31
2021-12-31,11.905,-2.37
2022-12-31,11.617,-2.42
2023-12-31,11.329,-2.48
2024-12-31,11.108,-1.95
2025-12-31,10.888,-1.98
2026-12-31,10.667,-2.03
2027-12-31,10.447,-2.06
2028-12-31,10.226,-2.12
2029-12-31,10.172,-0.53
2030-12-31,10.119,-0.52
2031-12-31,10.065,-0.53
2032-12-31,10.012,-0.53
2033-12-31,9.958,-0.54
2034-12-31,10.072,1.14
2035-12-31,10.186,1.13
2036-12-31,10.299,1.11
2037-12-31,10.413,1.11
2038-12-31,10.527,1.09
2039-12-31,10.687,1.52
2040-12-31,10.847,1.5
2041-12-31,11.007,1.48
2042-12-31,11.167,1.45
2043-12-31,11.327,1.43
2044-12-31,11.398,0.63
2045-12-31,11.47,0.63
2046-12-31,11.541,0.62
2047-12-31,11.613,0.62
2048-12-31,11.684,0.61
2049-12-31,11.63,-0.46
2050-12-31,11.575,-0.47
2051-12-31,11.521,-0.47
2052-12-31,11.466,-0.48
2053-12-31,11.412,-0.47
2054-12-31,11.299,-0.99
2055-12-31,11.186,-1
2056-12-31,11.073,-1.01
2057-12-31,10.96,-1.02
2058-12-31,10.847,-1.03
2059-12-31,10.778,-0.64
2060-12-31,10.709,-0.64
2061-12-31,10.641,-0.63
2062-12-31,10.572,-0.65
2063-12-31,10.503,-0.65
2064-12-31,10.519,0.15
2065-12-31,10.535,0.15
2066-12-31,10.552,0.16
2067-12-31,10.568,0.15
2068-12-31,10.584,0.15
2069-12-31,10.657,0.69
2070-12-31,10.73,0.68
2071-12-31,10.803,0.68
2072-12-31,10.876,0.68
2073-12-31,10.949,0.67
2074-12-31,11.002,0.48
2075-12-31,11.056,0.49
2076-12-31,11.109,0.48
2077-12-31,11.163,0.49
2078-12-31,11.216,0.47
2079-12-31,11.205,-0.1
2080-12-31,11.195,-0.09
2081-12-31,11.184,-0.1
2082-12-31,11.174,-0.09
2083-12-31,11.163,-0.1
2084-12-31,11.103,-0.54
2085-12-31,11.042,-0.55
2086-12-31,10.982,-0.54
2087-12-31,10.921,-0.56
2088-12-31,10.861,-0.55
2089-12-31,10.791,-0.64
2090-12-31,10.72,-0.66
2091-12-31,10.65,-0.65
2092-12-31,10.579,-0.67
2093-12-31,10.509,-0.66
2094-12-31,10.48,-0.28
2095-12-31,10.451,-0.28
2096-12-31,10.421,-0.29
2097-12-31,10.392,-0.28
2098-12-31,10.363,-0.28
2099-12-31,10.334,-0.28
2100-12-31,10.305,-0.28
