Macrotrends Data Download

South Korea GDP Per Capita 1960-2020


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Per Capita (US $), Annual Growth Rate (%), 
1960-12-31,158.2493
1961-12-31,93.8286,-40.71
1962-12-31,106.1485,13.13
1963-12-31,146.3143,37.84
1964-12-31,123.6035,-15.52
1965-12-31,108.7221,-12.04
1966-12-31,133.4748,22.77
1967-12-31,161.1599,20.74
1968-12-31,198.4313,23.13
1969-12-31,243.4224,22.67
1970-12-31,279.305,14.74
1971-12-31,301.1766,7.83
1972-12-31,324.1963,7.64
1973-12-31,406.8988,25.51
1974-12-31,563.356,38.45
1975-12-31,617.4561,9.6
1976-12-31,834.1342,35.09
1977-12-31,1055.88,26.58
1978-12-31,1405.8224,33.14
1979-12-31,1783.6223,26.87
1980-12-31,1715.4295,-3.82
1981-12-31,1883.4513,9.79
1982-12-31,1992.5282,5.79
1983-12-31,2198.9345,10.36
1984-12-31,2413.2639,9.75
1985-12-31,2482.4,2.86
1986-12-31,2834.9038,14.2
1987-12-31,3554.5952,25.39
1988-12-31,4748.6296,33.59
1989-12-31,5817.0292,22.5
1990-12-31,6610.0365,13.63
1991-12-31,7636.9824,15.54
1992-12-31,8126.6704,6.41
1993-12-31,8884.9283,9.33
1994-12-31,10385.3362,16.89
1995-12-31,12564.7781,20.99
1996-12-31,13403.0496,6.67
1997-12-31,12398.48,-7.5
1998-12-31,8281.7,-33.2
1999-12-31,10672.4179,28.87
2000-12-31,12256.9936,14.85
2001-12-31,11561.2484,-5.68
2002-12-31,13165.0657,13.87
2003-12-31,14672.8575,11.45
2004-12-31,16496.1201,12.43
2005-12-31,19402.5026,17.62
2006-12-31,21743.4775,12.07
2007-12-31,24086.4104,10.78
2008-12-31,21350.428,-11.36
2009-12-31,19143.8516,-10.34
2010-12-31,23087.2256,20.6
2011-12-31,25096.2639,8.7
2012-12-31,25466.7605,1.48
2013-12-31,27182.7343,6.74
2014-12-31,29249.5752,7.6
2015-12-31,28732.2311,-1.77
2016-12-31,29288.8704,1.94
2017-12-31,31616.8434,7.95
2018-12-31,33340.2652,5.45
2019-12-31,31761.9777,-4.73
