Macrotrends Data Download

South Korea Death Rate 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Deaths per 1000 People, Annual % Change
1950-12-31,25.557
1951-12-31,24.15,-5.51
1952-12-31,22.742,-5.83
1953-12-31,21.334,-6.19
1954-12-31,19.926,-6.6
1955-12-31,18.518,-7.07
1956-12-31,17.111,-7.6
1957-12-31,15.703,-8.23
1958-12-31,14.295,-8.97
1959-12-31,13.786,-3.56
1960-12-31,13.276,-3.7
1961-12-31,12.767,-3.83
1962-12-31,12.257,-3.99
1963-12-31,11.748,-4.15
1964-12-31,11.343,-3.45
1965-12-31,10.937,-3.58
1966-12-31,10.532,-3.7
1967-12-31,10.126,-3.85
1968-12-31,9.721,-4
1969-12-31,9.347,-3.85
1970-12-31,8.974,-3.99
1971-12-31,8.6,-4.17
1972-12-31,8.227,-4.34
1973-12-31,7.853,-4.55
1974-12-31,7.721,-1.68
1975-12-31,7.589,-1.71
1976-12-31,7.458,-1.73
1977-12-31,7.326,-1.77
1978-12-31,7.194,-1.8
1979-12-31,7.07,-1.72
1980-12-31,6.946,-1.75
1981-12-31,6.822,-1.79
1982-12-31,6.698,-1.82
1983-12-31,6.574,-1.85
1984-12-31,6.436,-2.1
1985-12-31,6.298,-2.14
1986-12-31,6.16,-2.19
1987-12-31,6.022,-2.24
1988-12-31,5.884,-2.29
1989-12-31,5.819,-1.1
1990-12-31,5.754,-1.12
1991-12-31,5.69,-1.11
1992-12-31,5.625,-1.14
1993-12-31,5.56,-1.16
1994-12-31,5.536,-0.43
1995-12-31,5.512,-0.43
1996-12-31,5.487,-0.45
1997-12-31,5.463,-0.44
1998-12-31,5.439,-0.44
1999-12-31,5.416,-0.42
2000-12-31,5.393,-0.42
2001-12-31,5.37,-0.43
2002-12-31,5.347,-0.43
2003-12-31,5.324,-0.43
2004-12-31,5.308,-0.3
2005-12-31,5.291,-0.32
2006-12-31,5.275,-0.3
2007-12-31,5.258,-0.32
2008-12-31,5.242,-0.3
2009-12-31,5.284,0.8
2010-12-31,5.327,0.81
2011-12-31,5.369,0.79
2012-12-31,5.412,0.8
2013-12-31,5.454,0.78
2014-12-31,5.547,1.71
2015-12-31,5.64,1.68
2016-12-31,5.732,1.63
2017-12-31,5.825,1.62
2018-12-31,5.918,1.6
2019-12-31,6.111,3.26
2020-12-31,6.305,3.17
2021-12-31,6.498,3.06
2022-12-31,6.692,2.99
2023-12-31,6.885,2.88
2024-12-31,7.099,3.11
2025-12-31,7.313,3.01
2026-12-31,7.528,2.94
2027-12-31,7.742,2.84
2028-12-31,7.956,2.76
2029-12-31,8.192,2.97
2030-12-31,8.429,2.89
2031-12-31,8.665,2.8
2032-12-31,8.902,2.74
2033-12-31,9.138,2.65
2034-12-31,9.413,3.01
2035-12-31,9.687,2.91
2036-12-31,9.962,2.84
2037-12-31,10.236,2.75
2038-12-31,10.511,2.69
2039-12-31,10.828,3.02
2040-12-31,11.145,2.93
2041-12-31,11.463,2.85
2042-12-31,11.78,2.77
2043-12-31,12.097,2.69
2044-12-31,12.439,2.83
2045-12-31,12.781,2.75
2046-12-31,13.124,2.68
2047-12-31,13.466,2.61
2048-12-31,13.808,2.54
2049-12-31,14.124,2.29
2050-12-31,14.44,2.24
2051-12-31,14.757,2.2
2052-12-31,15.073,2.14
2053-12-31,15.389,2.1
2054-12-31,15.633,1.59
2055-12-31,15.877,1.56
2056-12-31,16.12,1.53
2057-12-31,16.364,1.51
2058-12-31,16.608,1.49
2059-12-31,16.75,0.86
2060-12-31,16.892,0.85
2061-12-31,17.035,0.85
2062-12-31,17.177,0.83
2063-12-31,17.319,0.83
2064-12-31,17.381,0.36
2065-12-31,17.443,0.36
2066-12-31,17.506,0.36
2067-12-31,17.568,0.35
2068-12-31,17.63,0.35
2069-12-31,17.635,0.03
2070-12-31,17.64,0.03
2071-12-31,17.645,0.03
2072-12-31,17.65,0.03
2073-12-31,17.655,0.03
2074-12-31,17.621,-0.19
2075-12-31,17.586,-0.2
2076-12-31,17.552,-0.19
2077-12-31,17.517,-0.2
2078-12-31,17.483,-0.19
2079-12-31,17.446,-0.21
2080-12-31,17.408,-0.22
2081-12-31,17.371,-0.21
2082-12-31,17.333,-0.22
2083-12-31,17.296,-0.21
2084-12-31,17.229,-0.39
2085-12-31,17.162,-0.39
2086-12-31,17.095,-0.39
2087-12-31,17.028,-0.39
2088-12-31,16.961,-0.39
2089-12-31,16.881,-0.47
2090-12-31,16.801,-0.47
2091-12-31,16.72,-0.48
2092-12-31,16.64,-0.48
2093-12-31,16.56,-0.48
2094-12-31,16.394,-1
2095-12-31,16.227,-1.02
2096-12-31,16.061,-1.02
2097-12-31,15.894,-1.04
2098-12-31,15.728,-1.04
2099-12-31,15.562,-1.06
2100-12-31,15.395,-1.07
