Macrotrends Data Download

South Korea Net Migration Rate 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Per 1000 Population, Annual % Change
1950-12-31,5.213
1951-12-31,4.893,-6.14
1952-12-31,4.572,-6.56
1953-12-31,4.252,-7
1954-12-31,3.932,-7.53
1955-12-31,3.611,-8.16
1956-12-31,3.291,-8.86
1957-12-31,2.97,-9.75
1958-12-31,2.65,-10.77
1959-12-31,2.018,-23.85
1960-12-31,1.386,-31.32
1961-12-31,0.754,-45.6
1962-12-31,0.122,-83.82
1963-12-31,-0.51,-518.03
1964-12-31,-0.515,0.98
1965-12-31,-0.52,0.97
1966-12-31,-0.526,1.15
1967-12-31,-0.531,0.95
1968-12-31,-0.536,0.94
1969-12-31,-0.677,26.31
1970-12-31,-0.819,20.97
1971-12-31,-0.96,17.22
1972-12-31,-1.102,14.79
1973-12-31,-1.243,12.79
1974-12-31,-1.174,-5.55
1975-12-31,-1.106,-5.79
1976-12-31,-1.037,-6.24
1977-12-31,-0.969,-6.56
1978-12-31,-0.9,-7.12
1979-12-31,-0.626,-30.44
1980-12-31,-0.352,-43.77
1981-12-31,-0.077,-78.13
1982-12-31,0.197,-355.84
1983-12-31,0.471,139.09
1984-12-31,0.54,14.65
1985-12-31,0.609,12.78
1986-12-31,0.677,11.17
1987-12-31,0.746,10.19
1988-12-31,0.815,9.25
1989-12-31,0.717,-12.02
1990-12-31,0.619,-13.67
1991-12-31,0.52,-15.99
1992-12-31,0.422,-18.85
1993-12-31,0.324,-23.22
1994-12-31,0.397,22.53
1995-12-31,0.47,18.39
1996-12-31,0.542,15.32
1997-12-31,0.615,13.47
1998-12-31,0.688,11.87
1999-12-31,0.618,-10.17
2000-12-31,0.548,-11.33
2001-12-31,0.478,-12.77
2002-12-31,0.408,-14.64
2003-12-31,0.338,-17.16
2004-12-31,0.143,-57.69
2005-12-31,-0.052,-136.36
2006-12-31,-0.247,375
2007-12-31,-0.442,78.95
2008-12-31,-0.637,44.12
2009-12-31,-0.19,-70.17
2010-12-31,0.257,-235.26
2011-12-31,0.705,174.32
2012-12-31,1.152,63.4
2013-12-31,1.599,38.8
2014-12-31,1.325,-17.14
2015-12-31,1.051,-20.68
2016-12-31,0.778,-25.98
2017-12-31,0.504,-35.22
2018-12-31,0.23,-54.37
2019-12-31,0.262,13.91
2020-12-31,0.294,12.21
2021-12-31,0.326,10.88
2022-12-31,0.358,9.82
2023-12-31,0.39,8.94
2024-12-31,0.429,10
2025-12-31,0.468,9.09
2026-12-31,0.507,8.33
2027-12-31,0.546,7.69
2028-12-31,0.585,7.14
2029-12-31,0.586,0.17
2030-12-31,0.587,0.17
2031-12-31,0.587,0
2032-12-31,0.588,0.17
2033-12-31,0.589,0.17
2034-12-31,0.591,0.34
2035-12-31,0.592,0.17
2036-12-31,0.594,0.34
2037-12-31,0.595,0.17
2038-12-31,0.597,0.34
2039-12-31,0.6,0.5
2040-12-31,0.603,0.5
2041-12-31,0.605,0.33
2042-12-31,0.608,0.5
2043-12-31,0.611,0.49
2044-12-31,0.615,0.65
2045-12-31,0.619,0.65
2046-12-31,0.622,0.48
2047-12-31,0.626,0.64
2048-12-31,0.63,0.64
2049-12-31,0.635,0.79
2050-12-31,0.64,0.79
2051-12-31,0.644,0.63
2052-12-31,0.649,0.78
2053-12-31,0.654,0.77
2054-12-31,0.66,0.92
2055-12-31,0.666,0.91
2056-12-31,0.673,1.05
2057-12-31,0.679,0.89
2058-12-31,0.685,0.88
2059-12-31,0.692,1.02
2060-12-31,0.699,1.01
2061-12-31,0.707,1.14
2062-12-31,0.714,0.99
2063-12-31,0.721,0.98
2064-12-31,0.728,0.97
2065-12-31,0.736,1.1
2066-12-31,0.743,0.95
2067-12-31,0.751,1.08
2068-12-31,0.758,0.93
2069-12-31,0.766,1.06
2070-12-31,0.774,1.04
2071-12-31,0.782,1.03
2072-12-31,0.79,1.02
2073-12-31,0.798,1.01
2074-12-31,0.806,1
2075-12-31,0.814,0.99
2076-12-31,0.822,0.98
2077-12-31,0.83,0.97
2078-12-31,0.838,0.96
2079-12-31,0.846,0.95
2080-12-31,0.854,0.95
2081-12-31,0.863,1.05
2082-12-31,0.871,0.93
2083-12-31,0.879,0.92
2084-12-31,0.887,0.91
2085-12-31,0.895,0.9
2086-12-31,0.903,0.89
2087-12-31,0.911,0.89
2088-12-31,0.919,0.88
2089-12-31,0.927,0.87
2090-12-31,0.935,0.86
2091-12-31,0.943,0.86
2092-12-31,0.951,0.85
2093-12-31,0.959,0.84
2094-12-31,0.967,0.83
2095-12-31,0.974,0.72
2096-12-31,0.982,0.82
2097-12-31,0.989,0.71
2098-12-31,0.997,0.81
2099-12-31,1.005,0.8
2100-12-31,1.012,0.7
