Macrotrends Data Download

South Korea Birth Rate 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Births per 1000 People, Annual % Change
1950-12-31,36.992
1951-12-31,37.896,2.44
1952-12-31,38.799,2.38
1953-12-31,39.703,2.33
1954-12-31,40.607,2.28
1955-12-31,41.51,2.22
1956-12-31,42.414,2.18
1957-12-31,43.317,2.13
1958-12-31,44.221,2.09
1959-12-31,43.089,-2.56
1960-12-31,41.958,-2.62
1961-12-31,40.826,-2.7
1962-12-31,39.695,-2.77
1963-12-31,38.563,-2.85
1964-12-31,37.223,-3.47
1965-12-31,35.884,-3.6
1966-12-31,34.544,-3.73
1967-12-31,33.205,-3.88
1968-12-31,31.865,-4.04
1969-12-31,31.079,-2.47
1970-12-31,30.294,-2.53
1971-12-31,29.508,-2.59
1972-12-31,28.723,-2.66
1973-12-31,27.937,-2.74
1974-12-31,26.874,-3.8
1975-12-31,25.811,-3.96
1976-12-31,24.749,-4.11
1977-12-31,23.686,-4.3
1978-12-31,22.623,-4.49
1979-12-31,22.118,-2.23
1980-12-31,21.613,-2.28
1981-12-31,21.108,-2.34
1982-12-31,20.603,-2.39
1983-12-31,20.098,-2.45
1984-12-31,19.112,-4.91
1985-12-31,18.126,-5.16
1986-12-31,17.141,-5.43
1987-12-31,16.155,-5.75
1988-12-31,15.169,-6.1
1989-12-31,15.336,1.1
1990-12-31,15.502,1.08
1991-12-31,15.669,1.08
1992-12-31,15.835,1.06
1993-12-31,16.002,1.05
1994-12-31,15.553,-2.81
1995-12-31,15.104,-2.89
1996-12-31,14.656,-2.97
1997-12-31,14.207,-3.06
1998-12-31,13.758,-3.16
1999-12-31,13.104,-4.75
2000-12-31,12.45,-4.99
2001-12-31,11.797,-5.24
2002-12-31,11.143,-5.54
2003-12-31,10.489,-5.87
2004-12-31,10.255,-2.23
2005-12-31,10.021,-2.28
2006-12-31,9.786,-2.35
2007-12-31,9.552,-2.39
2008-12-31,9.318,-2.45
2009-12-31,9.244,-0.79
2010-12-31,9.169,-0.81
2011-12-31,9.095,-0.81
2012-12-31,9.02,-0.82
2013-12-31,8.946,-0.82
2014-12-31,8.644,-3.38
2015-12-31,8.342,-3.49
2016-12-31,8.04,-3.62
2017-12-31,7.738,-3.76
2018-12-31,7.436,-3.9
2019-12-31,7.303,-1.79
2020-12-31,7.169,-1.83
2021-12-31,7.036,-1.86
2022-12-31,6.902,-1.9
2023-12-31,6.769,-1.93
2024-12-31,6.743,-0.38
2025-12-31,6.717,-0.39
2026-12-31,6.692,-0.37
2027-12-31,6.666,-0.39
2028-12-31,6.64,-0.39
2029-12-31,6.655,0.23
2030-12-31,6.67,0.23
2031-12-31,6.685,0.22
2032-12-31,6.7,0.22
2033-12-31,6.715,0.22
2034-12-31,6.637,-1.16
2035-12-31,6.559,-1.18
2036-12-31,6.481,-1.19
2037-12-31,6.403,-1.2
2038-12-31,6.325,-1.22
2039-12-31,6.296,-0.46
2040-12-31,6.266,-0.48
2041-12-31,6.237,-0.46
2042-12-31,6.207,-0.48
2043-12-31,6.178,-0.47
2044-12-31,6.193,0.24
2045-12-31,6.209,0.26
2046-12-31,6.224,0.24
2047-12-31,6.24,0.26
2048-12-31,6.255,0.24
2049-12-31,6.229,-0.42
2050-12-31,6.203,-0.42
2051-12-31,6.178,-0.4
2052-12-31,6.152,-0.42
2053-12-31,6.126,-0.42
2054-12-31,6.116,-0.16
2055-12-31,6.106,-0.16
2056-12-31,6.097,-0.15
2057-12-31,6.087,-0.16
2058-12-31,6.077,-0.16
2059-12-31,6.129,0.86
2060-12-31,6.18,0.83
2061-12-31,6.232,0.84
2062-12-31,6.283,0.82
2063-12-31,6.335,0.83
2064-12-31,6.4,1.03
2065-12-31,6.465,1.02
2066-12-31,6.53,1.01
2067-12-31,6.595,1
2068-12-31,6.66,0.99
2069-12-31,6.697,0.56
2070-12-31,6.734,0.55
2071-12-31,6.772,0.56
2072-12-31,6.809,0.55
2073-12-31,6.846,0.54
2074-12-31,6.874,0.41
2075-12-31,6.902,0.41
2076-12-31,6.93,0.41
2077-12-31,6.958,0.4
2078-12-31,6.986,0.4
2079-12-31,7.021,0.5
2080-12-31,7.057,0.51
2081-12-31,7.092,0.5
2082-12-31,7.128,0.51
2083-12-31,7.163,0.49
2084-12-31,7.178,0.21
2085-12-31,7.194,0.22
2086-12-31,7.209,0.21
2087-12-31,7.225,0.22
2088-12-31,7.24,0.21
2089-12-31,7.257,0.23
2090-12-31,7.274,0.23
2091-12-31,7.291,0.23
2092-12-31,7.308,0.23
2093-12-31,7.325,0.23
2094-12-31,7.367,0.57
2095-12-31,7.409,0.57
2096-12-31,7.451,0.57
2097-12-31,7.493,0.56
2098-12-31,7.535,0.56
2099-12-31,7.577,0.56
2100-12-31,7.619,0.55
