Macrotrends Data Download

U.K. GDP Per Capita 1960-2020


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, GDP Per Capita (US $), Annual Growth Rate (%), 
1960-12-31,1397.5948
1961-12-31,1472.3857,5.35
1962-12-31,1525.7759,3.63
1963-12-31,1613.4569,5.75
1964-12-31,1748.2881,8.36
1965-12-31,1873.5678,7.17
1966-12-31,1986.7472,6.04
1967-12-31,2058.7819,3.63
1968-12-31,1951.7586,-5.2
1969-12-31,2100.6679,7.63
1970-12-31,2347.5443,11.75
1971-12-31,2649.8015,12.88
1972-12-31,3030.4325,14.36
1973-12-31,3426.2762,13.06
1974-12-31,3665.8628,6.99
1975-12-31,4299.7456,17.29
1976-12-31,4138.1678,-3.76
1977-12-31,4681.4399,13.13
1978-12-31,5976.9382,27.67
1979-12-31,7804.7621,30.58
1980-12-31,10032.0621,28.54
1981-12-31,9599.3062,-4.31
1982-12-31,9146.0774,-4.72
1983-12-31,8691.5188,-4.97
1984-12-31,8179.1944,-5.89
1985-12-31,8652.2165,5.78
1986-12-31,10611.1122,22.64
1987-12-31,13118.5865,23.63
1988-12-31,15987.1681,21.87
1989-12-31,16239.2822,1.58
1990-12-31,19095.467,17.59
1991-12-31,19900.7267,4.22
1992-12-31,20487.1708,2.95
1993-12-31,18389.0196,-10.24
1994-12-31,19709.2381,7.18
1995-12-31,23123.1778,17.32
1996-12-31,24332.6978,5.23
1997-12-31,26734.5626,9.87
1998-12-31,28214.2744,5.53
1999-12-31,28669.5397,1.61
2000-12-31,28149.87,-1.81
2001-12-31,27744.5065,-1.44
2002-12-31,30056.5862,8.33
2003-12-31,34419.1479,14.51
2004-12-31,40290.314,17.06
2005-12-31,42030.2866,4.32
2006-12-31,44599.6976,6.11
2007-12-31,50566.8266,13.38
2008-12-31,47286.9985,-6.49
2009-12-31,38713.1374,-18.13
2010-12-31,39435.8399,1.87
2011-12-31,42038.5723,6.6
2012-12-31,42462.7716,1.01
2013-12-31,43444.533,2.31
2014-12-31,47425.6077,9.16
2015-12-31,44974.8319,-5.17
2016-12-31,41064.1334,-8.7
2017-12-31,40361.4174,-1.71
2018-12-31,43043.2278,6.64
2019-12-31,42300.2671,-1.73
