Macrotrends Data Download

U.K. Death Rate 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Deaths per 1000 People, Annual % Change
1950-12-31,11.828
1951-12-31,11.801,-0.23
1952-12-31,11.775,-0.22
1953-12-31,11.748,-0.23
1954-12-31,11.721,-0.23
1955-12-31,11.695,-0.22
1956-12-31,11.668,-0.23
1957-12-31,11.642,-0.22
1958-12-31,11.615,-0.23
1959-12-31,11.656,0.35
1960-12-31,11.697,0.35
1961-12-31,11.738,0.35
1962-12-31,11.779,0.35
1963-12-31,11.82,0.35
1964-12-31,11.807,-0.11
1965-12-31,11.794,-0.11
1966-12-31,11.78,-0.12
1967-12-31,11.767,-0.11
1968-12-31,11.754,-0.11
1969-12-31,11.771,0.14
1970-12-31,11.789,0.15
1971-12-31,11.806,0.14
1972-12-31,11.824,0.15
1973-12-31,11.841,0.14
1974-12-31,11.857,0.14
1975-12-31,11.873,0.13
1976-12-31,11.888,0.13
1977-12-31,11.904,0.13
1978-12-31,11.92,0.13
1979-12-31,11.882,-0.32
1980-12-31,11.844,-0.32
1981-12-31,11.806,-0.32
1982-12-31,11.768,-0.32
1983-12-31,11.73,-0.32
1984-12-31,11.693,-0.32
1985-12-31,11.656,-0.32
1986-12-31,11.62,-0.31
1987-12-31,11.583,-0.32
1988-12-31,11.546,-0.32
1989-12-31,11.474,-0.62
1990-12-31,11.402,-0.63
1991-12-31,11.33,-0.63
1992-12-31,11.258,-0.64
1993-12-31,11.186,-0.64
1994-12-31,11.119,-0.6
1995-12-31,11.053,-0.59
1996-12-31,10.986,-0.61
1997-12-31,10.92,-0.6
1998-12-31,10.853,-0.61
1999-12-31,10.72,-1.23
2000-12-31,10.586,-1.25
2001-12-31,10.453,-1.26
2002-12-31,10.319,-1.28
2003-12-31,10.186,-1.29
2004-12-31,10.022,-1.61
2005-12-31,9.858,-1.64
2006-12-31,9.695,-1.65
2007-12-31,9.531,-1.69
2008-12-31,9.367,-1.72
2009-12-31,9.302,-0.69
2010-12-31,9.238,-0.69
2011-12-31,9.173,-0.7
2012-12-31,9.109,-0.7
2013-12-31,9.044,-0.71
2014-12-31,9.112,0.75
2015-12-31,9.179,0.74
2016-12-31,9.247,0.74
2017-12-31,9.314,0.72
2018-12-31,9.382,0.73
2019-12-31,9.398,0.17
2020-12-31,9.413,0.16
2021-12-31,9.429,0.17
2022-12-31,9.444,0.16
2023-12-31,9.46,0.17
2024-12-31,9.485,0.26
2025-12-31,9.51,0.26
2026-12-31,9.536,0.27
2027-12-31,9.561,0.26
2028-12-31,9.586,0.26
2029-12-31,9.618,0.33
2030-12-31,9.65,0.33
2031-12-31,9.683,0.34
2032-12-31,9.715,0.33
2033-12-31,9.747,0.33
2034-12-31,9.81,0.65
2035-12-31,9.872,0.63
2036-12-31,9.935,0.64
2037-12-31,9.997,0.62
2038-12-31,10.06,0.63
2039-12-31,10.122,0.62
2040-12-31,10.184,0.61
2041-12-31,10.247,0.62
2042-12-31,10.309,0.61
2043-12-31,10.371,0.6
2044-12-31,10.427,0.54
2045-12-31,10.483,0.54
2046-12-31,10.539,0.53
2047-12-31,10.595,0.53
2048-12-31,10.651,0.53
2049-12-31,10.706,0.52
2050-12-31,10.761,0.51
2051-12-31,10.816,0.51
2052-12-31,10.871,0.51
2053-12-31,10.926,0.51
2054-12-31,10.961,0.32
2055-12-31,10.996,0.32
2056-12-31,11.031,0.32
2057-12-31,11.066,0.32
2058-12-31,11.101,0.32
2059-12-31,11.1,-0.01
2060-12-31,11.1,0
2061-12-31,11.099,-0.01
2062-12-31,11.099,0
2063-12-31,11.098,-0.01
2064-12-31,11.08,-0.16
2065-12-31,11.061,-0.17
2066-12-31,11.043,-0.16
2067-12-31,11.024,-0.17
2068-12-31,11.006,-0.16
2069-12-31,11.012,0.05
2070-12-31,11.018,0.05
2071-12-31,11.025,0.06
2072-12-31,11.031,0.05
2073-12-31,11.037,0.05
2074-12-31,11.057,0.18
2075-12-31,11.078,0.19
2076-12-31,11.098,0.18
2077-12-31,11.119,0.19
2078-12-31,11.139,0.18
2079-12-31,11.136,-0.03
2080-12-31,11.132,-0.04
2081-12-31,11.129,-0.03
2082-12-31,11.125,-0.04
2083-12-31,11.122,-0.03
2084-12-31,11.081,-0.37
2085-12-31,11.041,-0.36
2086-12-31,11,-0.37
2087-12-31,10.96,-0.36
2088-12-31,10.919,-0.37
2089-12-31,10.872,-0.43
2090-12-31,10.824,-0.44
2091-12-31,10.777,-0.43
2092-12-31,10.729,-0.45
2093-12-31,10.682,-0.44
2094-12-31,10.661,-0.2
2095-12-31,10.639,-0.21
2096-12-31,10.618,-0.2
2097-12-31,10.596,-0.21
2098-12-31,10.575,-0.2
2099-12-31,10.554,-0.2
2100-12-31,10.532,-0.21
