Macrotrends Data Download

U.K. Net Migration Rate 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Per 1000 Population, Annual % Change
1950-12-31,-2.775
1951-12-31,-2.395,-13.69
1952-12-31,-2.014,-15.91
1953-12-31,-1.633,-18.92
1954-12-31,-1.252,-23.33
1955-12-31,-0.871,-30.43
1956-12-31,-0.491,-43.63
1957-12-31,-0.11,-77.6
1958-12-31,0.271,-346.36
1959-12-31,0.324,19.56
1960-12-31,0.377,16.36
1961-12-31,0.431,14.32
1962-12-31,0.484,12.3
1963-12-31,0.537,10.95
1964-12-31,0.368,-31.47
1965-12-31,0.199,-45.92
1966-12-31,0.029,-85.43
1967-12-31,-0.14,-582.76
1968-12-31,-0.309,120.71
1969-12-31,-0.171,-44.66
1970-12-31,-0.033,-80.7
1971-12-31,0.105,-418.18
1972-12-31,0.243,131.43
1973-12-31,0.381,56.79
1974-12-31,0.333,-12.6
1975-12-31,0.284,-14.71
1976-12-31,0.236,-16.9
1977-12-31,0.187,-20.76
1978-12-31,0.139,-25.67
1979-12-31,0.042,-69.78
1980-12-31,-0.055,-230.95
1981-12-31,-0.152,176.36
1982-12-31,-0.249,63.82
1983-12-31,-0.346,38.96
1984-12-31,-0.207,-40.17
1985-12-31,-0.068,-67.15
1986-12-31,0.07,-202.94
1987-12-31,0.209,198.57
1988-12-31,0.348,66.51
1989-12-31,0.421,20.98
1990-12-31,0.494,17.34
1991-12-31,0.568,14.98
1992-12-31,0.641,12.85
1993-12-31,0.714,11.39
1994-12-31,0.923,29.27
1995-12-31,1.131,22.54
1996-12-31,1.34,18.48
1997-12-31,1.548,15.52
1998-12-31,1.757,13.5
1999-12-31,2.071,17.87
2000-12-31,2.386,15.21
2001-12-31,2.7,13.16
2002-12-31,3.015,11.67
2003-12-31,3.329,10.41
2004-12-31,4.079,22.53
2005-12-31,4.828,18.36
2006-12-31,5.578,15.53
2007-12-31,6.327,13.43
2008-12-31,7.077,11.85
2009-12-31,6.466,-8.63
2010-12-31,5.855,-9.45
2011-12-31,5.244,-10.44
2012-12-31,4.633,-11.65
2013-12-31,4.022,-13.19
2014-12-31,3.997,-0.62
2015-12-31,3.972,-0.63
2016-12-31,3.948,-0.6
2017-12-31,3.923,-0.63
2018-12-31,3.898,-0.64
2019-12-31,3.566,-8.52
2020-12-31,3.235,-9.28
2021-12-31,2.903,-10.26
2022-12-31,2.572,-11.4
2023-12-31,2.24,-12.91
2024-12-31,2.246,0.27
2025-12-31,2.252,0.27
2026-12-31,2.257,0.22
2027-12-31,2.263,0.27
2028-12-31,2.269,0.27
2029-12-31,2.281,0.53
2030-12-31,2.292,0.48
2031-12-31,2.304,0.52
2032-12-31,2.315,0.48
2033-12-31,2.327,0.52
2034-12-31,2.32,-0.3
2035-12-31,2.314,-0.26
2036-12-31,2.307,-0.3
2037-12-31,2.301,-0.26
2038-12-31,2.294,-0.3
2039-12-31,2.289,-0.22
2040-12-31,2.284,-0.22
2041-12-31,2.279,-0.22
2042-12-31,2.274,-0.22
2043-12-31,2.269,-0.22
2044-12-31,2.265,-0.18
2045-12-31,2.261,-0.18
2046-12-31,2.258,-0.13
2047-12-31,2.254,-0.18
2048-12-31,2.25,-0.18
2049-12-31,2.246,-0.18
2050-12-31,2.242,-0.18
2051-12-31,2.238,-0.18
2052-12-31,2.234,-0.18
2053-12-31,2.23,-0.18
2054-12-31,2.227,-0.13
2055-12-31,2.224,-0.13
2056-12-31,2.222,-0.09
2057-12-31,2.219,-0.14
2058-12-31,2.216,-0.14
2059-12-31,2.214,-0.09
2060-12-31,2.211,-0.14
2061-12-31,2.209,-0.09
2062-12-31,2.206,-0.14
2063-12-31,2.204,-0.09
2064-12-31,2.202,-0.09
2065-12-31,2.2,-0.09
2066-12-31,2.197,-0.14
2067-12-31,2.195,-0.09
2068-12-31,2.193,-0.09
2069-12-31,2.191,-0.09
2070-12-31,2.189,-0.09
2071-12-31,2.186,-0.14
2072-12-31,2.184,-0.09
2073-12-31,2.182,-0.09
2074-12-31,2.18,-0.09
2075-12-31,2.178,-0.09
2076-12-31,2.176,-0.09
2077-12-31,2.174,-0.09
2078-12-31,2.172,-0.09
2079-12-31,2.17,-0.09
2080-12-31,2.168,-0.09
2081-12-31,2.166,-0.09
2082-12-31,2.164,-0.09
2083-12-31,2.162,-0.09
2084-12-31,2.16,-0.09
2085-12-31,2.158,-0.09
2086-12-31,2.157,-0.05
2087-12-31,2.155,-0.09
2088-12-31,2.153,-0.09
2089-12-31,2.151,-0.09
2090-12-31,2.149,-0.09
2091-12-31,2.146,-0.14
2092-12-31,2.144,-0.09
2093-12-31,2.142,-0.09
2094-12-31,2.14,-0.09
2095-12-31,2.137,-0.14
2096-12-31,2.135,-0.09
2097-12-31,2.132,-0.14
2098-12-31,2.13,-0.09
2099-12-31,2.128,-0.09
2100-12-31,2.125,-0.14
