Macrotrends Data Download

U.K. Birth Rate 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Births per 1000 People, Annual % Change
1950-12-31,14.39
1951-12-31,14.641,1.74
1952-12-31,14.892,1.71
1953-12-31,15.143,1.69
1954-12-31,15.394,1.66
1955-12-31,15.645,1.63
1956-12-31,15.896,1.6
1957-12-31,16.147,1.58
1958-12-31,16.398,1.55
1959-12-31,16.778,2.32
1960-12-31,17.159,2.27
1961-12-31,17.539,2.21
1962-12-31,17.92,2.17
1963-12-31,18.3,2.12
1964-12-31,18.023,-1.51
1965-12-31,17.747,-1.53
1966-12-31,17.47,-1.56
1967-12-31,17.194,-1.58
1968-12-31,16.917,-1.61
1969-12-31,16.24,-4
1970-12-31,15.563,-4.17
1971-12-31,14.887,-4.34
1972-12-31,14.21,-4.55
1973-12-31,13.533,-4.76
1974-12-31,13.223,-2.29
1975-12-31,12.913,-2.34
1976-12-31,12.603,-2.4
1977-12-31,12.293,-2.46
1978-12-31,11.983,-2.52
1979-12-31,12.147,1.37
1980-12-31,12.311,1.35
1981-12-31,12.474,1.32
1982-12-31,12.638,1.31
1983-12-31,12.802,1.3
1984-12-31,12.989,1.46
1985-12-31,13.176,1.44
1986-12-31,13.363,1.42
1987-12-31,13.55,1.4
1988-12-31,13.737,1.38
1989-12-31,13.639,-0.71
1990-12-31,13.541,-0.72
1991-12-31,13.442,-0.73
1992-12-31,13.344,-0.73
1993-12-31,13.246,-0.73
1994-12-31,13.094,-1.15
1995-12-31,12.942,-1.16
1996-12-31,12.791,-1.17
1997-12-31,12.639,-1.19
1998-12-31,12.487,-1.2
1999-12-31,12.277,-1.68
2000-12-31,12.066,-1.72
2001-12-31,11.856,-1.74
2002-12-31,11.645,-1.78
2003-12-31,11.435,-1.8
2004-12-31,11.657,1.94
2005-12-31,11.878,1.9
2006-12-31,12.1,1.87
2007-12-31,12.321,1.83
2008-12-31,12.543,1.8
2009-12-31,12.524,-0.15
2010-12-31,12.505,-0.15
2011-12-31,12.485,-0.16
2012-12-31,12.466,-0.15
2013-12-31,12.447,-0.15
2014-12-31,12.266,-1.45
2015-12-31,12.085,-1.48
2016-12-31,11.905,-1.49
2017-12-31,11.724,-1.52
2018-12-31,11.543,-1.54
2019-12-31,11.488,-0.48
2020-12-31,11.433,-0.48
2021-12-31,11.377,-0.49
2022-12-31,11.322,-0.48
2023-12-31,11.267,-0.49
2024-12-31,11.171,-0.85
2025-12-31,11.075,-0.86
2026-12-31,10.978,-0.88
2027-12-31,10.882,-0.87
2028-12-31,10.786,-0.88
2029-12-31,10.712,-0.69
2030-12-31,10.638,-0.69
2031-12-31,10.563,-0.71
2032-12-31,10.489,-0.7
2033-12-31,10.415,-0.71
2034-12-31,10.406,-0.09
2035-12-31,10.397,-0.09
2036-12-31,10.389,-0.08
2037-12-31,10.38,-0.09
2038-12-31,10.371,-0.09
2039-12-31,10.389,0.17
2040-12-31,10.407,0.17
2041-12-31,10.424,0.16
2042-12-31,10.442,0.17
2043-12-31,10.46,0.17
2044-12-31,10.447,-0.12
2045-12-31,10.435,-0.11
2046-12-31,10.422,-0.12
2047-12-31,10.41,-0.12
2048-12-31,10.397,-0.12
2049-12-31,10.358,-0.38
2050-12-31,10.318,-0.39
2051-12-31,10.279,-0.38
2052-12-31,10.239,-0.39
2053-12-31,10.2,-0.38
2054-12-31,10.161,-0.38
2055-12-31,10.122,-0.38
2056-12-31,10.082,-0.4
2057-12-31,10.043,-0.39
2058-12-31,10.004,-0.39
2059-12-31,9.978,-0.26
2060-12-31,9.951,-0.27
2061-12-31,9.925,-0.26
2062-12-31,9.898,-0.27
2063-12-31,9.872,-0.26
2064-12-31,9.865,-0.07
2065-12-31,9.858,-0.07
2066-12-31,9.85,-0.08
2067-12-31,9.843,-0.07
2068-12-31,9.836,-0.07
2069-12-31,9.84,0.04
2070-12-31,9.843,0.03
2071-12-31,9.847,0.04
2072-12-31,9.85,0.03
2073-12-31,9.854,0.04
2074-12-31,9.855,0.01
2075-12-31,9.856,0.01
2076-12-31,9.856,0
2077-12-31,9.857,0.01
2078-12-31,9.858,0.01
2079-12-31,9.847,-0.11
2080-12-31,9.836,-0.11
2081-12-31,9.826,-0.1
2082-12-31,9.815,-0.11
2083-12-31,9.804,-0.11
2084-12-31,9.784,-0.2
2085-12-31,9.764,-0.2
2086-12-31,9.745,-0.19
2087-12-31,9.725,-0.21
2088-12-31,9.705,-0.21
2089-12-31,9.684,-0.22
2090-12-31,9.663,-0.22
2091-12-31,9.641,-0.23
2092-12-31,9.62,-0.22
2093-12-31,9.599,-0.22
2094-12-31,9.586,-0.14
2095-12-31,9.572,-0.15
2096-12-31,9.559,-0.14
2097-12-31,9.545,-0.15
2098-12-31,9.532,-0.14
2099-12-31,9.519,-0.14
2100-12-31,9.505,-0.15
