Macrotrends Data Download

U.S. Net Migration Rate 1950-2020
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Per 1000 Population, Annual % Change
1950-12-31,0.257
1951-12-31,0.522,103.11
1952-12-31,0.786,50.57
1953-12-31,1.05,33.59
1954-12-31,1.314,25.14
1955-12-31,1.578,20.09
1956-12-31,1.843,16.79
1957-12-31,2.107,14.32
1958-12-31,2.371,12.53
1959-12-31,2.277,-3.96
1960-12-31,2.183,-4.13
1961-12-31,2.088,-4.35
1962-12-31,1.994,-4.5
1963-12-31,1.9,-4.71
1964-12-31,1.824,-4
1965-12-31,1.748,-4.17
1966-12-31,1.673,-4.29
1967-12-31,1.597,-4.54
1968-12-31,1.521,-4.76
1969-12-31,1.756,15.45
1970-12-31,1.991,13.38
1971-12-31,2.227,11.85
1972-12-31,2.462,10.55
1973-12-31,2.697,9.55
1974-12-31,2.83,4.93
1975-12-31,2.963,4.7
1976-12-31,3.097,4.52
1977-12-31,3.23,4.29
1978-12-31,3.363,4.12
1979-12-31,3.266,-2.88
1980-12-31,3.169,-2.97
1981-12-31,3.073,-3.03
1982-12-31,2.976,-3.16
1983-12-31,2.879,-3.26
1984-12-31,2.85,-1.01
1985-12-31,2.821,-1.02
1986-12-31,2.792,-1.03
1987-12-31,2.763,-1.04
1988-12-31,2.734,-1.05
1989-12-31,2.878,5.27
1990-12-31,3.021,4.97
1991-12-31,3.165,4.77
1992-12-31,3.308,4.52
1993-12-31,3.452,4.35
1994-12-31,4.058,17.56
1995-12-31,4.663,14.91
1996-12-31,5.269,13
1997-12-31,5.874,11.48
1998-12-31,6.48,10.32
1999-12-31,5.924,-8.58
2000-12-31,5.368,-9.39
2001-12-31,4.812,-10.36
2002-12-31,4.256,-11.55
2003-12-31,3.7,-13.06
2004-12-31,3.679,-0.57
2005-12-31,3.658,-0.57
2006-12-31,3.637,-0.57
2007-12-31,3.616,-0.58
2008-12-31,3.595,-0.58
2009-12-31,3.506,-2.48
2010-12-31,3.417,-2.54
2011-12-31,3.329,-2.58
2012-12-31,3.24,-2.67
2013-12-31,3.151,-2.75
2014-12-31,3.107,-1.4
2015-12-31,3.062,-1.45
2016-12-31,3.018,-1.44
2017-12-31,2.973,-1.49
2018-12-31,2.929,-1.48
2019-12-31,2.893,-1.23
2020-12-31,2.857,-1.24
2021-12-31,2.82,-1.3
2022-12-31,2.784,-1.28
2023-12-31,2.748,-1.29
2024-12-31,2.768,0.73
2025-12-31,2.788,0.72
2026-12-31,2.807,0.68
2027-12-31,2.827,0.71
2028-12-31,2.847,0.71
2029-12-31,2.869,0.77
2030-12-31,2.891,0.77
2031-12-31,2.912,0.73
2032-12-31,2.934,0.76
2033-12-31,2.956,0.75
2034-12-31,2.951,-0.17
2035-12-31,2.946,-0.17
2036-12-31,2.94,-0.2
2037-12-31,2.935,-0.17
2038-12-31,2.93,-0.17
2039-12-31,2.925,-0.17
2040-12-31,2.919,-0.21
2041-12-31,2.914,-0.17
2042-12-31,2.908,-0.21
2043-12-31,2.903,-0.17
2044-12-31,2.897,-0.21
2045-12-31,2.891,-0.21
2046-12-31,2.885,-0.21
2047-12-31,2.879,-0.21
2048-12-31,2.873,-0.21
2049-12-31,2.864,-0.31
2050-12-31,2.855,-0.31
2051-12-31,2.846,-0.32
2052-12-31,2.837,-0.32
2053-12-31,2.828,-0.32
2054-12-31,2.819,-0.32
2055-12-31,2.81,-0.32
2056-12-31,2.802,-0.28
2057-12-31,2.793,-0.32
2058-12-31,2.784,-0.32
2059-12-31,2.775,-0.32
2060-12-31,2.766,-0.32
2061-12-31,2.758,-0.29
2062-12-31,2.749,-0.33
2063-12-31,2.74,-0.33
2064-12-31,2.731,-0.33
2065-12-31,2.722,-0.33
2066-12-31,2.714,-0.29
2067-12-31,2.705,-0.33
2068-12-31,2.696,-0.33
2069-12-31,2.688,-0.3
2070-12-31,2.68,-0.3
2071-12-31,2.672,-0.3
2072-12-31,2.664,-0.3
2073-12-31,2.656,-0.3
2074-12-31,2.649,-0.26
2075-12-31,2.642,-0.26
2076-12-31,2.635,-0.26
2077-12-31,2.628,-0.27
2078-12-31,2.621,-0.27
2079-12-31,2.615,-0.23
2080-12-31,2.608,-0.27
2081-12-31,2.602,-0.23
2082-12-31,2.595,-0.27
2083-12-31,2.589,-0.23
2084-12-31,2.583,-0.23
2085-12-31,2.578,-0.19
2086-12-31,2.572,-0.23
2087-12-31,2.567,-0.19
2088-12-31,2.561,-0.23
2089-12-31,2.556,-0.2
2090-12-31,2.55,-0.23
2091-12-31,2.545,-0.2
2092-12-31,2.539,-0.24
2093-12-31,2.534,-0.2
2094-12-31,2.528,-0.24
2095-12-31,2.523,-0.2
2096-12-31,2.517,-0.24
2097-12-31,2.512,-0.2
2098-12-31,2.506,-0.24
2099-12-31,2.5,-0.24
2100-12-31,2.495,-0.2
