Country Code,Country,GDP: 81,Unemployment Rate: 200,Inflation Rate: 119,Crude Oil Reserve: 50,Gold Reserve: 98,Stock Market: 191,,Interest Rate: 124,,,
AU,Australia,1957,2168,2051,1900,2001,2152,,2066,,,
BE,Belgium,3721,3874,3802,3677,3757,3864,,13666,,,
BR,Brazil,5288,5477,5381,5229,5336,5463,,5396,,,
CA,Canada,6963,7118,7037,6920,7000,7105,,7051,,,
CH,Switzerland,39913,40077,39985,39865,39947,40065,,39997,,,
CL,Chile,7887,8044,7958,7838,7926,8031,,7969,,,
CN,China,8176,8354,8253,8117,8212,8338,,8266,,,
CO,Colombia,8476,8628,8544,8423,8509,8615,,8557,,,
CY,Cyprus,10113,10262,10189,10067,10147,10251,,10199,,,
CZ,Czech Republic,10406,10614,10503,10341,10447,10600,,10520,,,
DE,Germany,15673,15829,15746,15627,15705,15815,,13666,,,
ES,Spain,38488,38684,38577,38428,38525,38668,,13666,,,
FR,France,14621,14822,14714,14563,14662,14807,,13666,,,
HR,Croatia,9659,9825,9736,9607,9698,9812,,9749,,,
HU,Hungary,18196,18406,18290,18131,18238,18388,,18303,,,
ID,Indonesia,19097,19284,19190,19036,19142,19267,,19205,,,
IL,Israel,20047,20250,20135,19991,20088,20235,,20148,,,
IN,India,18782,18968,18874,18733,18826,18957,,18888,,,
IT,Italy,20391,20562,20475,20331,20428,20548,,20489,,,
JP,Japan,20871,21041,20946,20820,20907,21028,,20958,,,
KE,Kenya,21620,21779,21710,21569,21674,21768,,21724,,,
KR,South Korea,37990,38202,38080,37926,38034,38186,,38094,,,
LU,Luxembourg,24092,24277,24178,24040,24127,24264,,13666,,,
MA,Morocco,27788,27966,27883,27740,27844,27952,,27899,,,
MX,Mexico,26618,26822,26706,26555,26661,26804,,26721,,,
MY,Malaysia,25055,25248,25141,25001,25098,25232,,25155,,,
NL,Netherlands,28976,29131,29053,28932,29013,29121,,13666,,,
NO,Norway,30449,30608,30521,30404,30483,30596,,13666,,,
NZ,New Zealand,29351,29556,29442,29290,29395,29543,,29458,,,
PH,Philippines,32207,32392,32297,32149,32252,32378,,32311,,,
PK,Pakistan,30917,31072,30989,30865,30951,31059,,31003,,,
PE,Peru,31934,32086,32007,31884,31974,32074,,32021,,,
QA,Qatar,33281,33425,33350,33233,33323,33411,,33363,,,
RU,Russia,33868,34039,33948,33818,33907,34026,,33959,,,
SA,Saudi Arabia,35235,35360,35301,35195,35271,35347,,35313,,,
TR,Turkey,42128,42332,42218,42063,42169,42315,,42232,,,
UK,United Kingdom,43489,43667,43574,43437,43528,43652,,43586,,,
US,United States,43785,43958,43857,43733,43814,43946,,43868,,,
VN,Vietnam,44908,45044,44971,44862,44940,45032,,44980,,,
ZA,South Africa,37617,37828,37715,37555,37668,37811,,37729,,,
