,series_id,country_code,indicator_code,identifier,description,units,frequency,date,value,country
0,45044,VN,200,VN.200.A.01,Vietnam: Unemployment Rate [Vietnam: National estimate: Unemployment rate],%,A,2019-01-01,2.0,Vietnam
1,45044,VN,200,VN.200.A.01,Vietnam: Unemployment Rate [Vietnam: National estimate: Unemployment rate],%,A,2018-01-01,1.2,Vietnam
2,45044,VN,200,VN.200.A.01,Vietnam: Unemployment Rate [Vietnam: National estimate: Unemployment rate],%,A,2017-01-01,1.9,Vietnam
3,45044,VN,200,VN.200.A.01,Vietnam: Unemployment Rate [Vietnam: National estimate: Unemployment rate],%,A,2016-01-01,1.8,Vietnam
4,45044,VN,200,VN.200.A.01,Vietnam: Unemployment Rate [Vietnam: National estimate: Unemployment rate],%,A,2015-01-01,1.8,Vietnam
5,45044,VN,200,VN.200.A.01,Vietnam: Unemployment Rate [Vietnam: National estimate: Unemployment rate],%,A,2014-01-01,1.3,Vietnam
6,45044,VN,200,VN.200.A.01,Vietnam: Unemployment Rate [Vietnam: National estimate: Unemployment rate],%,A,2013-01-01,1.3,Vietnam
7,45044,VN,200,VN.200.A.01,Vietnam: Unemployment Rate [Vietnam: National estimate: Unemployment rate],%,A,2012-01-01,1.0,Vietnam
8,45044,VN,200,VN.200.A.01,Vietnam: Unemployment Rate [Vietnam: National estimate: Unemployment rate],%,A,2011-01-01,1.0,Vietnam
9,45044,VN,200,VN.200.A.01,Vietnam: Unemployment Rate [Vietnam: National estimate: Unemployment rate],%,A,2010-01-01,1.1,Vietnam
10,45044,VN,200,VN.200.A.01,Vietnam: Unemployment Rate [Vietnam: National estimate: Unemployment rate],%,A,2009-01-01,1.7,Vietnam
11,45044,VN,200,VN.200.A.01,Vietnam: Unemployment Rate [Vietnam: National estimate: Unemployment rate],%,A,2007-01-01,2.0,Vietnam
12,45044,VN,200,VN.200.A.01,Vietnam: Unemployment Rate [Vietnam: National estimate: Unemployment rate],%,A,2004-01-01,2.1,Vietnam
13,45044,VN,200,VN.200.A.01,Vietnam: Unemployment Rate [Vietnam: National estimate: Unemployment rate],%,A,2003-01-01,2.3,Vietnam
