,country,date,GDPRate,UnemploymentRate,InflationRate,InterestRate,CorruptionIndex
3,Albania,1/1/19,2.604023954,11.5,1.411092372,5.9,35.0
4,Albania,1/1/18,5.48604436,12.3,2.028059104,4.5,36.0
5,Albania,1/1/17,5.308489608,13.6,1.986660635,4.7,38.0
6,Albania,1/1/16,2.661397686,15.4,1.275436465,7.4,39.0
7,Albania,1/1/15,2.795224785,17.2,1.8961677190000001,7.3,36.0
8,Albania,1/1/14,3.3518617460000004,18.1,1.625867905,6.3,33.0
9,Albania,1/1/13,1.2936342809999999,15.9,1.937612474,9.5,31.0
10,Albania,1/1/12,2.474727325,13.4,2.0316038659999998,9.7,33.0
11,Albania,1/1/11,4.9190268569999995,13.5,3.4291199999999997,9.9,31.0
12,Albania,1/1/10,8.366549746,14.1,3.622336375,8.0,33.0
13,Albania,1/1/09,5.853872405,13.7,2.231394978,10.0,32.0
14,Albania,1/1/08,11.92594351,13.1,3.3631436060000004,8.6,34.0
15,Albania,1/1/07,10.63240152,16.0,2.932674935,9.3,29.0
16,Albania,1/1/06,8.527112407,13.8,2.370734887,10.2,26.0
17,Albania,1/1/05,9.016077422,14.1,2.36657995,9.5,24.0
18,Albania,1/1/04,8.840900791000001,14.4,2.280019169,8.3,25.0
19,Albania,1/1/03,11.01455001,15.0,0.484001147,8.6,25.0
20,Albania,1/1/02,8.349560776,15.8,7.770521702999999,11.3,25.0
21,Albania,1/1/99,15.26450415,18.4,0.38943637700000006,19.1,23.0
22,Armenia,1/1/16,0.469112226,18.0,-1.403609761,17.0,33.0
23,Armenia,1/1/15,4.452755021000001,18.5,3.7316870769999997,16.2,35.0
24,Armenia,1/1/14,5.992312997999999,17.6,2.981307621,13.8,37.0
25,Armenia,1/1/13,6.777929855,16.2,5.789669044,12.2,36.0
26,Armenia,1/1/12,12.93070234,17.3,2.558021128,11.3,34.0
27,Armenia,1/1/11,9.182782847,18.4,7.650010000000001,12.9,26.0
28,Armenia,1/1/10,10.13962722,19.0,8.176358619,10.6,26.0
29,Angola,1/1/19,-0.9,6.89,17.14529968,-12.2,26.0
30,Angola,1/1/18,-2.0,7.02,20.19041451,-6.5,19.0
31,Angola,1/1/17,-0.1,7.12,31.69163805,-5.6,19.0
32,Angola,1/1/16,-2.6,7.22,32.37772718,-4.9,18.0
33,Angola,1/1/15,0.9,7.28,-21.53165398,21.1,15.0
34,Angola,1/1/14,4.8,7.33,7.280382228,12.4,19.0
35,Angola,1/1/13,5.0,7.4,8.777772434,12.6,23.0
36,Angola,1/1/12,8.5,7.38,10.27789563,8.8,22.0
37,Angola,1/1/11,3.5,7.36,13.48244569,-9.9,2.0
40,Angola,1/1/08,11.17,3.61,12.47577867,-5.7,1.9
41,Angola,1/1/07,14.0,3.64,12.25155147,12.8,2.2
42,Angola,1/1/06,11.5,3.71,13.30516096,2.0,2.2
43,Angola,1/1/05,15.0,3.8,22.95349139,17.8,2.0
46,Australia,1/1/19,5.263368435,5.2,1.6107734459999998,1.7,77.0
47,Australia,1/1/18,4.890659986,5.3,1.911402496,3.3,77.0
48,Australia,1/1/17,6.196912894,5.6,1.9486400369999999,1.5,77.0
49,Australia,1/1/16,2.222884265,5.7,1.276989774,6.0,79.0
50,Australia,1/1/15,1.630935922,6.1,1.508373678,6.2,79.0
51,Australia,1/1/14,4.050167056,6.1,2.487922272,4.4,80.0
52,Australia,1/1/13,2.457487972,5.7,2.449886502,6.3,81.0
53,Australia,1/1/12,5.847431425,5.2,1.76278038,5.0,85.0
54,Australia,1/1/11,8.869506944,5.1,3.30385,1.4,88.0
55,Australia,1/1/10,3.258831325,5.2,2.91834222,6.0,87.0
56,Australia,1/1/09,7.0356821,5.6,1.771109817,1.0,87.0
57,Australia,1/1/08,8.34903225,4.2,4.350299541,4.2,87.0
58,Australia,1/1/07,9.048603515,4.4,2.327616395,3.0,86.0
59,Australia,1/1/06,8.029198662999999,4.8,3.555288917,2.4,87.0
60,Australia,1/1/05,7.123022302000001,5.0,2.691834877,3.3,88.0
61,Australia,1/1/04,7.500873951,5.4,2.343245327,3.6,88.0
62,Australia,1/1/03,6.192484485,5.9,2.732603899,3.4,88.0
63,Australia,1/1/02,6.976226339,6.4,2.981565928,3.4,86.0
64,Australia,1/1/01,6.64091391,6.7,4.407141316000001,2.1,85.0
65,Australia,1/1/00,6.614302231,6.3,4.457439109,5.0,83.0
66,Australia,1/1/99,5.448761004,6.9,1.483125524,6.2,87.0
67,Australia,1/1/98,5.907893339,7.7,0.860127286,5.3,87.0
68,Australia,1/1/97,5.248683186,8.4,0.224891282,5.9,88.6
69,Australia,1/1/96,6.678973729,8.5,2.615383569,6.8,86.0
70,Australia,1/1/95,6.185628987,8.5,4.627773945,8.1,88.0
71,Azerbaijan,1/1/18,13.86765011,4.9,2.263516831,4.7,25.0
72,Azerbaijan,1/1/17,16.40474504,5.0,12.93998428,0.3,31.0
73,Azerbaijan,1/1/16,11.11658698,5.0,12.44949479,1.5,30.0
74,Azerbaijan,1/1/15,-7.8525301579999995,5.0,4.009438361,28.9,29.0
75,Azerbaijan,1/1/14,1.430167406,4.9,1.389726494,19.4,29.0
76,Azerbaijan,1/1/13,6.280722712999999,5.0,2.418870262,17.7,28.0
