lemma,poscode,surface
IAQ assessments,3,IAQ assessments
MS Office ,3,MS Office 
Microsoft ,3,Microsft
Microsoft Word,3,Microsoft Word
Microsoft Powerpoint,3,Microsoft Powerpoint
Microsoft Excel,3,Microsoft Excel
Word,3,Word
Excel,3,Excel
PowerPoint,3,PowerPoint
Powerpoint,3,Powerpoint
Social Media,3,Social Media
Pandas,3,Pandas
Jupyter Notebook,3,Jupyter Notebook
Machine Learning,3,Machine Learning
Hadoop,3,Hadoop
Tableau,3,Tableau
Azure,3,Azure
Google Drive,3,Google Drive
Google Sheets,3,Google Sheets
Thomson Reuters,3,Thomson Reuters
Thomson Reuters World Check,3,Thomson Reuters World Check
World Check,3,World Check
Fund Servicing,3,Fund Servicing
Trade Processing,3,Trade Processing
Bloomberg,3,Bloomberg
Bloomberg Terminal,3,Bloomberg Terminal
Bloomberg API,3,Bloomberg API
VBA,3,VBA
Salesforce,3,Salesforce
Salesforce.com,3,Salesforce.com
Oracle,3,Oracle
PMP,3,PMP
SAP,3,SAP
Lotus,3,Lotus
Eikon,3,Eikon
XTRA 3000,3,XTRA 3000
XTRA 3000,3,XTRA 3000
Darwin,3,Darwin
ETL,3,ETL
Facebook,3,Facebook
Instagram,3,Instagram
Twitter,3,Twitter
Wordpress,3,Wordpress
Squarespace,3,Squarespace
SQL,3,SQL
XML,3,XML
MATLAB,3,MATLAB
