lemma,poscode,surface
Office Manager,3,Office Manager
Executive Assistant,3,Executive Assistant
Internal Auditor,3,Internal Auditor
Treasury Accountant,3,Treasury Accountant
Compliance Advisor,3,Compliance Advisor
Compliance Officer,3,Compliance Officer
Project Coordinator,3,Project Coordinator
Staff Accountant,3,Staff Accountant
Cost Accountant,3,Cost Accountant
Company Secretarial Officer,3,Company Secretarial Officer
Fund Accountant,3,Fund Accountant
Data Analyst,3,Data Analyst
Financial Analyst,3,Financial Analyst
Business Analyst,3,Business Analyst
Audit Associate,3,Audit Associate
General Counsel,3,General Counsel
Lead Counsel,3,Lead Counsel
Lawyer,3,Lawyer
Attorney,3,Attorney
Financial Consultant,3,Financial Consultant
Credit Officer,3,Credit Officer
Research Analyst,3,Research Analyst
Sell-Side Analyst,3,Sell-Side Analyst
Buy-Side Analyst,3,Buy-Side Analyst
Equity Analyst,3,Equity Analyst
Senior Equity Analyst,3,Senior Equity Analyst
Senior Analyst,3,Senior Analyst
Investment Research Associate,3,Investment Research Associate
Quantitative Research Associate,3,Quantitative Research Associate
Operation Analyst,3,Operation Analyst
Operations Manager,3,Operations Manager
Sales Representative,3,Sales Representative
Equity Research Associate,3,Equity Research Associate
Senior Fund Accountant,3,Senior Fund Accountant
Senior Auditor,3,Senior Auditor
Foreign Lawyer,3,Foreign Lawyer
Transactions Counsel,3,Transactions Counsel
Legal Counsel,3,Legal Counsel
Legal Associate,3,Legal Associate
Tax Assistant,3,Tax Assistant
Assistant Manager,3,Assistant Manager
Assistant Operations Manager,3,Assistant Operations Manager
Director,3,Director
Relationship Manager,3,Relationship Manager
Director of Operations,3,Director of Operations
Financial Risk Manager,3,Financial Risk Manager
Finance Director,3,Finance Director
Vice President,3,Vice President
Vice President of Finance,3,Vice President of Finance
CFO,3,CFO
Chief Finanial Officer,3,Chief Finanial Officer
VP,3,VP
Business Risk Control Manager,3,Business Risk Control Manager
Company Secretary,3,Company Secretary
Internal Audit Manager,3,Internal Audit Manager
Junior Auditor,3,Junior Auditor
lemma,3,lemma
Manager,3,Manager
Operational Risk Officer,3,Operational Risk Officer
Operations Analyst,3,Operations Analyst
Operations Support,3,Operations Support
Risk Officer,3,Risk Officer
Trust Accountant,3,Trust Accountant
Trust Administrator,3,Trust Administrator
Trust Manager,3,Trust Manager
Chartered Accountant,3,Chartered Accountant
Head of Corporate Governance,3,Head of Corporate Governance
Trust & Estate Practitioner,3,Trust & Estate Practitioner
Trust and Estate Practitioner,3,Trust and Estate Practitioner
Certified Financial Planner,3,Certified Financial Planner
Certified Public Accountant,3,Certified Public Accountant
