country_code,country,gdp_per_capita,gdp_per_capita_from_date,gdp_per_capita_to_date,labor_force_participation_rate,labor_force_participation_rate_from_date,labor_force_participation_rate_to_date,imports,imports_from_date,imports_to_date,exports,exports_from_date,exports_to_date,internet_speed,internet_speed_from_date,internet_speed_to_date,capital_flows,capital_flows_from_date,capital_flows_to_date,remittances,remittances_from_date,remittances_to_date,tourism_revenue,tourism_revenue_from_date,tourism_revenue_to_date,electricity_production,electricity_production_from_date,electricity_production_to_date,steel_production,steel_production_from_date,steel_production_to_date,corporate_tax_rate,corporate_tax_rate_from_date,corporate_tax_rate_to_date,inflation_rate,inflation_rate_from_date,inflation_rate_to_date,interest_rate,interest_rate_from_date,interest_rate_to_date,unemployment_rate,unemployment_from_date,unemployment_to_date,population,population_from_date,population_to_date
AU,Australia,1998,1/1/60,1/1/19,2075,1/1/61,1/1/19,2039,1/1/60,1/1/19,1934,1/1/60,1/1/19,2070,1/1/17,1/1/19,1860,1/1/89,1/1/19,2132,1/1/70,1/1/19,2158,1/1/95,1/1/18,1918,1/1/60,1/1/15,2151,1/1/08,1/1/18,1891,1/1/03,1/1/19,2051,1/1/61,1/1/19,2066,1/1/61,1/1/19,2066,1/1/61,1/1/19,2118,1/1/60,1/1/19
AZ,Azerbaijan,2548,1/1/90,1/1/17,2596,1/1/89,1/1/18,2573,1/1/92,1/1/19,2487,1/1/92,1/1/19,2594,1/1/17,1/1/19,2432,1/1/95,1/1/19,2636,1/1/95,1/1/19,2645,1/1/95,1/1/18,2475,1/1/11,1/1/16,2640,1/1/08,1/1/18,2452,1/1/17,1/1/20,2580,1/1/92,1/1/19,2591,1/1/98,1/1/19,2591,1/1/98,1/1/19,2624,1/1/26,1/1/17
BA,Bosnia and Herzegovina,4830,1/1/94,1/1/19,4866,1/1/06,1/1/19,4849,1/1/92,1/1/19,4791,1/1/92,1/1/19,4864,1/1/17,1/1/19,4752,1/1/98,1/1/19,4895,1/1/98,1/1/19,4906,1/1/98,1/1/18,4781,1/1/90,1/1/15,4901,1/1/08,1/1/18,4764,1/1/03,1/1/20,4855,1/1/06,1/1/19,4863,1/1/98,1/1/19,4863,1/1/98,1/1/19,4887,1/1/60,1/1/19
BD,Bangladesh,3092,7/1/89,7/1/18,3143,7/1/99,7/1/12,3120,1/1/72,1/1/19,3048,1/1/72,1/1/19,3141,1/1/17,1/1/19,2997,1/1/79,1/1/19,3175,1/1/76,1/1/19,3191,1/1/95,1/1/18,3036,1/1/71,1/1/15,3183,1/1/08,1/1/18,3014,1/1/03,1/1/20,3127,1/1/87,1/1/19,3137,1/1/76,1/1/19,3137,1/1/76,1/1/19,3166,1/1/60,1/1/19
BG,Bulgaria,5859,1/1/80,1/1/19,5923,1/1/65,1/1/19,5893,1/1/60,1/1/19,5799,1/1/60,1/1/19,5919,1/1/17,1/1/19,5736,1/1/94,1/1/19,5964,1/1/96,1/1/19,5980,1/1/95,1/1/18,5784,1/1/71,1/1/15,5974,1/1/08,1/1/18,5760,1/1/03,1/1/20,5901,1/1/86,1/1/19,5915,1/1/92,1/1/19,5915,1/1/92,1/1/19,5953,1/1/90,1/1/19
BR,Brazil,5333,1/1/90,1/1/12,5402,1/1/60,1/1/19,5371,1/1/60,1/1/19,5264,1/1/60,1/1/19,5400,1/1/17,1/1/19,5197,1/1/96,1/1/19,5446,1/1/75,1/1/19,5470,1/1/95,1/1/18,5248,1/1/71,1/1/15,5462,1/1/08,1/1/18,5221,1/1/03,1/1/20,5381,1/1/81,1/1/19,5396,1/1/97,1/1/19,5396,1/1/97,1/1/19,5435,1/1/60,1/1/19
BY,Belarus,3497,1/1/95,1/1/17,3551,1/1/70,1/1/18,3530,1/1/92,1/1/19,3435,1/1/92,1/1/19,3549,1/1/17,1/1/19,3376,1/1/94,1/1/19,3593,1/1/93,1/1/19,3606,1/1/95,1/1/18,3419,1/1/90,1/1/15,3601,1/1/08,1/1/18,3396,1/1/03,1/1/20,3536,1/1/93,1/1/19,3545,1/1/92,1/1/19,3545,1/1/92,1/1/19,3581,1/1/91,1/1/17
CA,Canada,6998,1/1/60,1/1/19,7057,1/1/61,1/1/19,7027,1/1/60,1/1/19,6947,1/1/60,1/1/19,7055,1/1/17,1/1/19,6891,1/1/60,1/1/19,7090,1/1/95,1/1/19,7111,1/1/95,1/1/18,6934,1/1/60,1/1/15,7104,1/1/08,1/1/18,6915,1/1/03,1/1/19,7037,1/1/61,1/1/19,7051,1/1/61,1/1/17,7051,1/1/61,1/1/17,7081,1/1/60,1/1/19
CD,"Congo, Dem Rep",9107,1/1/03,1/1/19,9157,1/1/90,1/1/25,9138,1/1/95,1/1/17,9062,1/1/06,1/1/18,9155,1/1/17,1/1/19,9015,1/1/03,1/1/16,9190,1/1/00,1/1/18,9201,1/1/00,1/1/16,9057,1/1/71,1/1/15,9195,1/1/97,1/1/17,9038,1/1/17,1/1/20,9140,1/1/64,1/1/16,9152,1/1/06,1/1/19,9152,1/1/06,1/1/19,9181,1/1/50,1/1/25
CH,Switzerland,39945,1/1/60,1/1/19,40004,1/1/60,1/1/19,39976,1/1/60,1/1/19,39897,1/1/60,1/1/19,40000,1/1/17,1/1/19,39835,1/1/91,1/1/19,40046,1/1/77,1/1/19,40069,1/1/95,1/1/18,39881,1/1/60,1/1/15,40064,1/1/08,1/1/18,39856,1/1/03,1/1/20,39985,1/1/61,1/1/19,39997,1/1/08,1/1/19,39997,1/1/08,1/1/19,40037,1/1/70,1/1/18
CL,Chile,7924,1/1/60,1/1/19,7975,1/1/60,1/1/19,7950,1/1/60,1/1/19,7867,1/1/60,1/1/19,7973,1/1/17,1/1/19,7809,1/1/02,1/1/18,8015,1/1/83,1/1/19,8036,1/1/95,1/1/18,7854,1/1/71,1/1/15,8030,1/1/08,1/1/18,7829,1/1/03,1/1/19,7958,1/1/71,1/1/19,7969,1/1/85,1/1/18,7969,1/1/85,1/1/18,8005,1/1/60,1/1/19
CO,Colombia,8507,1/1/60,1/1/19,8563,1/1/64,1/1/19,8536,1/1/60,1/1/19,8455,1/1/60,1/1/19,8561,1/1/17,1/1/19,8392,1/1/94,1/1/13,8600,1/1/70,1/1/19,8622,1/1/95,1/1/18,8442,1/1/71,1/1/15,8614,1/1/08,1/1/18,8413,1/1/03,1/1/20,8544,1/1/61,1/1/19,8557,1/1/86,1/1/19,8557,1/1/86,1/1/19,8589,1/1/60,1/1/19
CZ,Czech Republic,10445,1/1/90,1/1/19,10526,1/1/91,1/1/19,10491,1/1/93,1/1/19,10382,1/1/93,1/1/19,10521,1/1/17,1/1/19,10294,1/1/93,1/1/19,10581,1/1/93,1/1/19,10604,1/1/95,1/1/18,10362,1/1/71,1/1/15,10599,1/1/08,1/1/18,10330,1/1/03,1/1/20,10503,1/1/92,1/1/19,10519,1/1/93,1/1/19,10519,1/1/93,1/1/19,10570,1/1/60,1/1/19
DZ,Algeria,534,1/1/60,1/1/19,589,1/1/66,1/1/17,560,1/1/60,1/1/19,473,1/1/60,1/1/19,587,1/1/17,1/1/19,405,1/1/05,1/1/17,629,1/1/70,1/1/19,642,1/1/95,1/1/17,457,1/1/71,1/1/15,636,1/1/08,1/1/18,430,1/1/13,1/1/20,569,1/1/70,1/1/19,585,1/1/80,1/1/19,585,1/1/80,1/1/19,617,1/1/60,1/1/19
EG,Egypt,12244,1/1/92,1/1/19,12312,1/1/92,1/1/19,12283,1/1/60,1/1/19,12171,1/1/60,1/1/19,12310,1/1/17,1/1/19,12089,1/1/90,1/1/19,12366,1/1/77,1/1/19,12378,1/1/00,1/1/16,12154,1/1/71,1/1/15,12372,1/1/08,1/1/18,12122,1/1/03,1/1/20,12292,1/1/61,1/1/18,12306,1/1/76,1/1/19,12306,1/1/76,1/1/19,12354,1/1/50,1/1/25
GT,Guatemala,16777,1/1/60,1/1/19,16831,1/1/64,1/1/17,16808,1/1/60,1/1/19,16721,1/1/60,1/1/19,16829,1/1/17,1/1/19,16664,1/1/95,1/1/19,16868,1/1/77,1/1/19,16878,1/1/95,1/1/18,16707,1/1/71,1/1/15,16874,1/1/08,1/1/18,16685,1/1/03,1/1/19,16814,1/1/61,1/1/19,16826,1/1/97,1/1/19,16826,1/1/97,1/1/19,16859,1/1/85,1/1/17
HU,Hungary,18235,1/1/91,1/1/19,18309,1/1/60,1/1/19,18278,1/1/60,1/1/19,18170,1/1/60,1/1/19,18305,1/1/17,1/1/19,18079,1/1/95,1/1/19,18366,1/1/95,1/1/19,18394,1/1/95,1/1/18,18152,1/1/65,1/1/15,18386,1/1/08,1/1/18,18120,1/1/03,1/1/20,18290,1/1/73,1/1/19,18303,1/1/92,1/1/19,18303,1/1/92,1/1/19,18354,1/1/60,1/1/19
IN,India,18823,4/1/04,4/1/19,18894,1/1/61,1/1/18,18862,1/1/60,1/1/19,18758,1/1/60,1/1/19,18892,1/1/17,1/1/19,18693,4/1/09,4/1/13,18946,1/1/75,1/1/19,18963,1/1/95,1/1/18,18746,4/1/50,4/1/18,18955,1/1/08,1/1/18,18722,1/1/03,1/1/20,18874,1/1/61,1/1/19,18888,1/1/78,1/1/19,18888,1/1/78,1/1/19,18936,4/1/50,4/1/19
IR,Iran,19409,1/1/60,1/1/17,19459,1/1/66,1/1/18,19437,1/1/50,1/1/15,19356,1/1/50,1/1/15,19457,1/1/17,1/1/19,19307,1/1/76,1/1/00,19488,1/1/91,1/1/19,19495,1/1/95,1/1/17,19345,1/1/71,1/1/15,19489,1/1/08,1/1/18,19323,1/1/98,1/1/07,19446,1/1/61,1/1/19,19456,1/1/04,1/1/16,19456,1/1/04,1/1/16,19479,1/1/60,1/1/19
IT,Italy,20426,1/1/60,1/1/19,20493,1/1/61,1/1/19,20465,1/1/60,1/1/19,20365,1/1/60,1/1/19,20491,1/1/17,1/1/19,20285,1/1/70,1/1/19,20528,1/1/70,1/1/19,20553,1/1/95,1/1/18,20349,1/1/60,1/1/15,20547,1/1/08,1/1/18,20321,1/1/03,1/1/19,20475,1/1/61,1/1/19,20489,1/1/89,1/1/19,20489,1/1/89,1/1/19,20517,1/1/60,1/1/19
JO,Jordan,21170,1/1/65,1/1/19,21217,1/1/61,1/1/19,21194,1/1/60,1/1/19,21127,1/1/60,1/1/19,21215,1/1/17,1/1/19,21084,1/1/99,1/1/18,21250,1/1/72,1/1/19,21260,1/1/95,1/1/18,21117,1/1/71,1/1/15,21255,1/1/08,1/1/18,21099,1/1/03,1/1/18,21201,1/1/70,1/1/19,21211,1/1/97,1/1/19,21211,1/1/97,1/1/19,21240,1/1/52,1/1/19
JP,Japan,20905,1/1/60,1/1/19,20962,1/1/60,1/1/19,20937,1/1/60,1/1/19,20851,1/1/60,1/1/19,20959,1/1/17,1/1/19,20783,1/1/96,1/1/19,21009,1/1/77,1/1/19,21033,1/1/95,1/1/18,20836,1/1/60,1/1/15,21027,1/1/08,1/1/18,20809,1/1/03,1/1/20,20946,1/1/61,1/1/19,20958,1/1/61,1/1/17,20958,1/1/61,1/1/17,20996,1/1/60,1/1/19
KR,South Korea,38031,1/1/60,1/1/19,38100,1/1/60,1/1/19,38068,1/1/60,1/1/19,37964,1/1/60,1/1/19,38098,1/1/17,1/1/19,37872,1/1/98,1/1/19,38171,1/1/76,1/1/19,38192,1/1/95,1/1/18,37946,1/1/71,1/1/15,38184,1/1/08,1/1/18,37915,1/1/03,1/1/20,38080,1/1/61,1/1/19,38094,1/1/96,1/1/19,38094,1/1/96,1/1/19,38156,1/1/60,1/1/19
LY,Libya,23511,1/1/60,1/1/20,23555,1/1/90,1/1/25,23536,1/1/50,1/1/16,23462,1/1/50,1/1/16,23553,1/1/17,1/1/19,23416,1/1/04,1/1/15,23577,1/1/00,1/1/06,23585,1/1/00,1/1/16,23455,1/1/71,1/1/15,23580,1/1/08,1/1/18,23431,1/1/03,1/1/19,23540,1/1/65,1/1/13,23552,1/1/00,1/1/14,23552,1/1/00,1/1/14,23572,1/1/50,1/1/25
MA,Morocco,27840,1/1/90,1/1/19,27902,1/1/60,1/1/17,27876,1/1/60,1/1/19,27767,1/1/60,1/1/19,27900,1/1/17,1/1/19,27702,1/1/96,1/1/19,27945,1/1/75,1/1/19,27957,1/1/95,1/1/18,27756,1/1/71,1/1/15,27951,1/1/08,1/1/18,27730,1/1/13,1/1/19,27883,1/1/61,1/1/19,27899,1/1/90,1/1/18,27899,1/1/90,1/1/18,27934,1/1/50,1/1/25
MD,Moldova,27070,1/1/95,1/1/19,27118,1/1/89,1/1/19,27096,1/1/92,1/1/19,27027,1/1/92,1/1/19,27116,1/1/17,1/1/19,26977,1/1/94,1/1/19,27152,1/1/95,1/1/19,27163,1/1/95,1/1/18,27015,1/1/90,1/1/15,27159,1/1/08,1/1/18,26995,1/1/15,1/1/19,27101,1/1/92,1/1/19,27112,1/1/96,1/1/19,27112,1/1/96,1/1/19,27143,1/1/60,1/1/19
ME,Montenegro,27552,1/1/00,1/1/19,27582,1/1/07,1/1/19,27564,1/1/06,1/1/19,27517,1/1/06,1/1/19,27580,1/1/17,1/1/19,27478,1/1/07,1/1/19,27609,1/1/07,1/1/19,27623,1/1/07,1/1/18,27507,1/1/05,1/1/15,27619,1/1/08,1/1/18,27490,1/1/05,1/1/19,27570,1/1/06,1/1/18,27578,1/1/05,1/1/18,27578,1/1/05,1/1/18,27600,1/1/60,1/1/19
MK,FYR Macedonia,13822,1/1/90,1/1/19,13856,1/1/91,1/1/19,13840,1/1/92,1/1/19,13787,1/1/92,1/1/19,13853,1/1/17,1/1/19,13750,1/1/98,1/1/19,13881,1/1/96,1/1/19,13889,1/1/95,1/1/18,13780,1/1/90,1/1/15,13884,1/1/08,1/1/18,13762,1/1/03,1/1/20,13844,1/1/94,1/1/19,13852,1/1/94,1/1/19,13852,1/1/94,1/1/19,13873,1/1/60,1/1/19
MM,Myanmar,28293,4/1/89,4/1/16,28331,1/1/83,1/1/19,28314,1/1/48,1/1/56,28250,1/1/48,1/1/56,28329,1/1/17,1/1/19,28198,1/1/89,1/1/18,28354,1/1/87,1/1/19,28362,1/1/95,1/1/18,28237,1/1/71,1/1/15,28358,1/1/08,1/1/18,28217,1/1/17,1/1/18,28318,1/1/61,1/1/19,28327,1/1/85,1/1/17,28327,1/1/85,1/1/17,28345,4/1/83,4/1/17
MN,Mongolia,27337,1/1/80,1/1/19,27396,1/1/98,1/1/19,27367,1/1/80,1/1/19,27278,1/1/80,1/1/19,27394,1/1/17,1/1/19,27222,1/1/08,1/1/19,27435,1/1/98,1/1/19,27451,1/1/95,1/1/18,27264,1/1/85,1/1/15,27445,1/1/08,1/1/18,27242,1/1/17,1/1/20,27376,1/1/93,1/1/19,27390,1/1/98,1/1/19,27390,1/1/98,1/1/19,27424,1/1/56,1/1/19
MX,Mexico,26659,1/1/60,1/1/19,26727,1/1/60,1/1/19,26696,1/1/60,1/1/19,26593,1/1/60,1/1/19,26725,1/1/17,1/1/19,26513,1/1/06,1/1/19,26784,1/1/79,1/1/19,26811,1/1/95,1/1/18,26575,1/1/71,1/1/15,26802,1/1/08,1/1/18,26544,1/1/03,1/1/20,26706,1/1/61,1/1/19,26721,1/1/93,1/1/19,26721,1/1/93,1/1/19,26771,1/1/60,1/1/19
