country_code,country,gdp_per_capita,gdp_per_capita_from_date,gdp_per_capita_to_date,labor_force_participation_rate,labor_force_participation_rate_from_date,labor_force_participation_rate_to_date,imports,imports_from_date,imports_to_date,exports,exports_from_date,exports_to_date,internet_speed,internet_speed_from_date,internet_speed_to_date,capital_flows,capital_flows_from_date,capital_flows_to_date,remittances,remittances_from_date,remittances_to_date,tourism_revenue,tourism_revenue_from_date,tourism_revenue_to_date,electricity_production,electricity_production_from_date,electricity_production_to_date,steel_production,steel_production_from_date,steel_production_to_date,corporate_tax_rate,corporate_tax_rate_from_date,corporate_tax_rate_to_date,inflation_rate,inflation_rate_from_date,inflation_rate_to_date,interest_rate,interest_rate_from_date,interest_rate_to_date,unemployment_rate,unemployment_from_date,unemployment_to_date,population,population_from_date,population_to_date
AU,Australia,1998,1960-01-01,2019-01-01,2075,1961-01-01,2019-01-01,2039,1960-01-01,2019-01-01,1934,1960-01-01,2019-01-01,2070,2017-01-01,2019-01-01,1860,1989-01-01,2019-01-01,2132,1970-01-01,2019-01-01,2158,1995-01-01,2018-01-01,1918,1960-01-01,2015-01-01,2151,2008-01-01,2018-01-01,1891,2003-01-01,2019-01-01,2051,1961-01-01,2019-01-01,2066,1961-01-01,2019-01-01,2066,1961-01-01,2019-01-01,2118,1960-01-01,2019-01-01
AZ,Azerbaijan,2548,1990-01-01,2017-01-01,2596,1989-01-01,2018-01-01,2573,1992-01-01,2019-01-01,2487,1992-01-01,2019-01-01,2594,2017-01-01,2019-01-01,2432,1995-01-01,2019-01-01,2636,1995-01-01,2019-01-01,2645,1995-01-01,2018-01-01,2475,2011-01-01,2016-01-01,2640,2008-01-01,2018-01-01,2452,2017-01-01,2020-01-01,2580,1992-01-01,2019-01-01,2591,1998-01-01,2019-01-01,2591,1998-01-01,2019-01-01,2624,1926-01-01,2017-01-01
BA,Bosnia and Herzegovina,4830,1994-01-01,2019-01-01,4866,2006-01-01,2019-01-01,4849,1992-01-01,2019-01-01,4791,1992-01-01,2019-01-01,4864,2017-01-01,2019-01-01,4752,1998-01-01,2019-01-01,4895,1998-01-01,2019-01-01,4906,1998-01-01,2018-01-01,4781,1990-01-01,2015-01-01,4901,2008-01-01,2018-01-01,4764,2003-01-01,2020-01-01,4855,2006-01-01,2019-01-01,4863,1998-01-01,2019-01-01,4863,1998-01-01,2019-01-01,4887,1960-01-01,2019-01-01
BD,Bangladesh,3092,1989-07-01,2018-07-01,3143,1999-07-01,2012-07-01,3120,1972-01-01,2019-01-01,3048,1972-01-01,2019-01-01,3141,2017-01-01,2019-01-01,2997,1979-01-01,2019-01-01,3175,1976-01-01,2019-01-01,3191,1995-01-01,2018-01-01,3036,1971-01-01,2015-01-01,3183,2008-01-01,2018-01-01,3014,2003-01-01,2020-01-01,3127,1987-01-01,2019-01-01,3137,1976-01-01,2019-01-01,3137,1976-01-01,2019-01-01,3166,1960-01-01,2019-01-01
BG,Bulgaria,5859,1980-01-01,2019-01-01,5923,1965-01-01,2019-01-01,5893,1960-01-01,2019-01-01,5799,1960-01-01,2019-01-01,5919,2017-01-01,2019-01-01,5736,1994-01-01,2019-01-01,5964,1996-01-01,2019-01-01,5980,1995-01-01,2018-01-01,5784,1971-01-01,2015-01-01,5974,2008-01-01,2018-01-01,5760,2003-01-01,2020-01-01,5901,1986-01-01,2019-01-01,5915,1992-01-01,2019-01-01,5915,1992-01-01,2019-01-01,5953,1990-01-01,2019-01-01
BR,Brazil,5333,1990-01-01,2012-01-01,5402,1960-01-01,2019-01-01,5371,1960-01-01,2019-01-01,5264,1960-01-01,2019-01-01,5400,2017-01-01,2019-01-01,5197,1996-01-01,2019-01-01,5446,1975-01-01,2019-01-01,5470,1995-01-01,2018-01-01,5248,1971-01-01,2015-01-01,5462,2008-01-01,2018-01-01,5221,2003-01-01,2020-01-01,5381,1981-01-01,2019-01-01,5396,1997-01-01,2019-01-01,5396,1997-01-01,2019-01-01,5435,1960-01-01,2019-01-01
BY,Belarus,3497,1995-01-01,2017-01-01,3551,1970-01-01,2018-01-01,3530,1992-01-01,2019-01-01,3435,1992-01-01,2019-01-01,3549,2017-01-01,2019-01-01,3376,1994-01-01,2019-01-01,3593,1993-01-01,2019-01-01,3606,1995-01-01,2018-01-01,3419,1990-01-01,2015-01-01,3601,2008-01-01,2018-01-01,3396,2003-01-01,2020-01-01,3536,1993-01-01,2019-01-01,3545,1992-01-01,2019-01-01,3545,1992-01-01,2019-01-01,3581,1991-01-01,2017-01-01
CA,Canada,6998,1960-01-01,2019-01-01,7057,1961-01-01,2019-01-01,7027,1960-01-01,2019-01-01,6947,1960-01-01,2019-01-01,7055,2017-01-01,2019-01-01,6891,1960-01-01,2019-01-01,7090,1995-01-01,2019-01-01,7111,1995-01-01,2018-01-01,6934,1960-01-01,2015-01-01,7104,2008-01-01,2018-01-01,6915,2003-01-01,2019-01-01,7037,1961-01-01,2019-01-01,7051,1961-01-01,2017-01-01,7051,1961-01-01,2017-01-01,7081,1960-01-01,2019-01-01
CD,"Congo, Dem Rep",9107,2003-01-01,2019-01-01,9157,1990-01-01,2025-01-01,9138,1995-01-01,2017-01-01,9062,2006-01-01,2018-01-01,9155,2017-01-01,2019-01-01,9015,2003-01-01,2016-01-01,9190,2000-01-01,2018-01-01,9201,2000-01-01,2016-01-01,9057,1971-01-01,2015-01-01,9195,1997-01-01,2017-01-01,9038,2017-01-01,2020-01-01,9140,1964-01-01,2016-01-01,9152,2006-01-01,2019-01-01,9152,2006-01-01,2019-01-01,9181,1950-01-01,2025-01-01
CH,Switzerland,39945,1960-01-01,2019-01-01,40004,1960-01-01,2019-01-01,39976,1960-01-01,2019-01-01,39897,1960-01-01,2019-01-01,40000,2017-01-01,2019-01-01,39835,1991-01-01,2019-01-01,40046,1977-01-01,2019-01-01,40069,1995-01-01,2018-01-01,39881,1960-01-01,2015-01-01,40064,2008-01-01,2018-01-01,39856,2003-01-01,2020-01-01,39985,1961-01-01,2019-01-01,39997,2008-01-01,2019-01-01,39997,2008-01-01,2019-01-01,40037,1970-01-01,2018-01-01
